Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,62.0,62.55,60.8,61.0,61.15,56605.0,34.68
2017-08-23,61.7,64.0,61.1,62.2,62.05,82939.0,51.56
2017-08-22,62.1,62.6,60.5,60.9,60.75,66570.0,40.81
2017-08-21,60.2,64.0,60.2,62.8,62.65,277689.0,175.47
2017-08-18,62.0,62.05,59.4,59.65,59.95,116324.0,70.49
2017-08-17,62.1,64.35,61.85,62.35,62.3,118254.0,74.76
2017-08-16,62.9,64.0,61.4,63.0,63.85,223454.0,141.13
2017-08-14,67.5,67.5,61.6,62.2,62.55,266370.0,170.45
2017-08-11,56.5,65.0,56.2,64.6,64.3,775098.0,490.77
2017-08-10,58.0,58.0,54.0,55.2,54.9,82367.0,46.1
2017-08-09,59.7,60.0,57.0,57.95,58.0,80512.0,46.73
2017-08-08,61.1,61.6,59.6,59.6,59.85,51604.0,31.1
2017-08-07,61.4,61.65,60.0,61.0,61.15,49643.0,30.28
2017-08-04,62.8,65.65,59.65,59.65,60.65,351640.0,223.3
2017-08-03,62.5,63.05,61.4,61.9,61.6,38642.0,24.0
2017-08-02,63.15,63.85,62.5,62.9,63.05,22472.0,14.19
2017-08-01,64.15,64.3,63.0,63.2,63.1,16063.0,10.22
2017-07-31,63.8,65.0,63.0,64.15,64.25,91338.0,58.62
2017-07-28,63.1,63.95,62.3,63.25,63.3,45138.0,28.53
2017-07-27,64.3,65.25,63.0,63.4,63.3,69402.0,44.74
2017-07-26,63.95,64.95,62.1,64.45,64.45,57673.0,37.0
2017-07-25,61.55,66.3,61.55,62.5,63.1,223585.0,143.66
2017-07-24,63.0,63.3,62.4,62.65,62.55,26691.0,16.75
2017-07-21,63.5,63.5,62.15,62.6,62.8,18230.0,11.44
2017-07-20,62.65,63.3,62.2,62.95,62.9,24588.0,15.44
2017-07-19,62.2,63.6,62.0,62.55,62.85,37698.0,23.71
2017-07-18,62.5,63.3,61.25,62.45,62.5,38730.0,24.23
2017-07-17,63.3,63.85,62.6,62.75,62.95,27377.0,17.26
2017-07-14,64.2,64.5,61.6,62.75,62.65,49049.0,31.02
2017-07-13,63.0,64.9,63.0,64.2,64.2,36732.0,23.63
2017-07-12,63.85,64.4,63.3,63.9,63.75,30840.0,19.68
2017-07-11,64.9,65.1,63.2,63.3,63.4,41615.0,26.72
2017-07-10,64.2,65.5,63.75,64.0,64.1,14629.0,9.4
2017-07-07,64.5,65.8,63.5,64.2,64.3,51603.0,33.27
2017-07-06,64.0,64.45,63.4,64.05,63.8,22812.0,14.58
2017-07-05,64.7,65.0,63.35,63.5,63.75,58858.0,37.79
2017-07-04,62.1,64.45,62.0,63.8,64.1,48205.0,30.77
2017-07-03,62.2,64.0,62.2,62.9,62.7,27628.0,17.38
2017-06-30,64.9,64.9,62.5,62.5,62.7,31639.0,19.98
2017-06-29,61.0,67.45,60.6,63.9,63.75,128611.0,82.55
2017-06-28,61.0,61.9,60.35,61.1,61.0,27701.0,16.89
2017-06-27,62.1,62.8,60.5,60.6,60.65,39358.0,24.24
2017-06-23,64.0,64.0,61.5,62.0,62.05,51371.0,32.11
2017-06-22,65.4,65.4,63.25,63.25,63.55,58785.0,37.68
2017-06-21,65.9,66.0,64.0,64.2,64.4,36152.0,23.54
2017-06-20,65.5,66.45,64.7,65.0,64.9,39602.0,25.78
2017-06-19,66.6,66.95,65.8,65.8,65.9,20578.0,13.63
2017-06-16,67.0,67.4,66.0,66.0,66.25,41343.0,27.56
2017-06-15,67.25,67.7,66.55,66.55,66.7,27016.0,18.1
2017-06-14,68.0,68.0,67.0,67.0,67.25,22149.0,14.9
2017-06-13,67.9,68.0,67.05,67.05,67.2,22841.0,15.41
2017-06-12,68.5,68.5,67.25,67.4,67.5,20817.0,14.09
2017-06-09,68.65,68.65,67.1,68.2,68.1,22360.0,15.21
2017-06-08,67.5,68.9,67.5,68.25,68.05,23027.0,15.72
2017-06-07,68.5,68.95,68.0,68.0,68.35,60702.0,41.57
2017-06-06,68.5,69.5,68.2,68.25,68.75,71925.0,49.44
2017-06-05,69.0,69.6,68.1,68.1,68.3,24093.0,16.53
2017-06-02,68.85,70.15,68.45,69.0,68.75,32288.0,22.36
2017-06-01,67.2,70.35,67.2,69.5,69.65,43550.0,30.2
2017-05-31,67.25,69.55,67.1,68.25,68.45,34419.0,23.67
2017-05-30,69.0,69.0,66.9,67.6,67.35,43117.0,29.03
2017-05-29,71.5,71.5,68.1,68.75,68.6,38680.0,26.83
2017-05-26,69.5,71.8,68.6,70.0,69.85,40919.0,28.58
2017-05-25,69.45,69.9,68.25,68.6,68.8,24007.0,16.57
2017-05-24,70.0,71.4,67.6,68.05,68.2,75436.0,51.97
2017-05-23,72.6,73.25,66.0,69.1,69.35,56932.0,39.6
2017-05-22,74.1,75.0,72.2,72.5,72.6,38279.0,28.01
2017-05-19,75.95,76.4,73.65,73.8,74.0,37556.0,28.0
2017-05-18,75.95,76.25,75.15,75.25,75.3,26879.0,20.31
2017-05-17,76.4,78.0,76.0,76.0,76.1,44043.0,33.73
2017-05-16,76.75,77.55,76.1,76.4,76.3,27314.0,20.94
2017-05-15,77.05,77.45,76.15,76.15,76.35,27126.0,20.79
2017-05-12,75.7,79.4,75.7,77.0,76.95,159633.0,124.36
2017-05-11,75.6,76.7,75.6,75.65,75.7,29132.0,22.16
2017-05-10,76.5,76.9,75.4,75.6,75.6,26008.0,19.75
2017-05-09,75.6,77.15,75.25,75.9,75.7,50545.0,38.49
2017-05-08,75.25,75.95,75.05,75.35,75.35,18775.0,14.17
2017-05-05,76.2,76.95,75.0,75.1,75.25,48191.0,36.52
2017-05-04,76.95,77.4,76.05,76.05,76.3,29126.0,22.29
2017-05-03,76.95,77.5,76.25,76.25,76.5,40692.0,31.21
2017-05-02,76.25,77.65,76.25,76.65,76.75,36479.0,28.09
2017-04-28,76.9,77.3,76.05,76.3,76.4,41263.0,31.55
2017-04-27,77.5,77.5,76.15,76.5,76.45,39124.0,30.01
2017-04-26,77.75,78.9,76.65,76.65,77.0,71154.0,55.27
2017-04-25,78.6,79.05,77.65,78.2,77.95,42435.0,33.2
2017-04-24,77.3,79.4,77.3,78.25,78.2,76870.0,60.2
2017-04-21,77.25,79.6,77.25,77.55,77.7,71906.0,56.32
2017-04-20,78.3,78.3,76.45,77.35,77.4,49986.0,38.71
2017-04-19,77.5,77.9,76.3,76.6,76.75,43249.0,33.31
2017-04-18,78.0,79.9,77.6,77.65,77.85,63345.0,49.75
2017-04-17,77.35,79.65,77.1,77.65,77.95,50388.0,39.35
2017-04-13,78.55,78.6,77.3,77.3,77.6,54665.0,42.59
2017-04-12,80.0,80.45,78.15,78.3,78.55,50458.0,39.85
2017-04-11,80.0,81.3,79.0,79.95,79.7,54881.0,43.76
2017-04-10,80.95,81.5,79.25,80.0,79.7,50919.0,40.83
2017-04-07,80.0,82.95,80.0,80.7,80.9,167035.0,136.25
2017-04-06,81.45,82.5,80.2,80.7,80.85,89578.0,72.73
2017-04-05,78.0,84.7,77.6,81.5,81.8,532336.0,436.7
2017-04-03,75.75,77.85,75.1,77.6,77.5,106149.0,81.55
2017-03-31,75.3,75.9,75.0,75.5,75.4,36390.0,27.41
2017-03-30,75.75,76.9,75.1,75.4,75.55,72515.0,54.98
2017-03-29,75.55,77.1,74.0,75.0,74.9,110867.0,83.51
2017-03-28,76.5,76.5,74.65,74.65,75.05,47196.0,35.49
2017-03-27,76.7,76.7,75.05,76.0,75.8,104201.0,78.91
2017-03-24,76.8,77.75,76.25,76.65,76.7,52599.0,40.41
2017-03-23,78.0,78.0,76.5,76.85,77.15,45892.0,35.43
2017-03-22,76.0,78.85,76.0,77.45,77.3,92246.0,71.53
2017-03-21,77.0,77.65,76.0,76.85,76.6,65024.0,49.74
2017-03-20,77.0,77.65,77.0,77.0,77.15,48582.0,37.51
2017-03-17,78.75,78.75,77.15,77.25,77.35,55997.0,43.48
2017-03-16,78.0,78.85,77.35,77.85,78.1,60288.0,47.08
2017-03-15,77.9,78.85,77.55,77.85,78.0,36066.0,28.16
2017-03-14,79.0,79.0,77.0,77.7,77.45,35643.0,27.82
2017-03-10,77.5,79.3,77.5,77.6,77.85,45646.0,35.55
2017-03-09,77.5,79.5,77.3,77.75,77.65,67318.0,52.62
2017-03-08,79.5,79.5,77.6,77.75,77.85,55144.0,43.04
2017-03-07,79.35,79.75,78.1,79.35,78.7,31294.0,24.68
2017-03-06,78.7,79.65,78.55,78.95,78.9,33224.0,26.24
2017-03-03,79.0,79.95,78.5,79.2,78.95,38228.0,30.16
2017-03-02,81.2,81.2,79.0,79.0,79.3,71675.0,57.28
2017-03-01,79.0,82.45,79.0,80.2,80.55,137177.0,110.93
2017-02-28,79.9,80.7,78.8,79.6,79.3,72631.0,57.59
2017-02-27,80.0,82.0,79.35,79.7,79.7,54854.0,43.84
2017-02-23,81.3,81.7,80.05,80.35,80.6,50498.0,40.88
2017-02-22,82.0,82.5,79.8,81.0,80.3,84095.0,68.09
2017-02-21,81.95,82.9,80.8,81.25,81.55,81785.0,67.04
