Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,76.0,76.0,76.0,76.0,76.0,233.0,0.18
2017-08-21,80.0,80.0,80.0,80.0,80.0,100.0,0.08
2017-08-18,80.0,80.0,80.0,80.0,80.0,25.0,0.02
2017-08-17,79.5,79.55,72.1,79.0,79.0,211.0,0.16
2017-08-16,82.8,82.8,75.8,75.8,75.8,1510.0,1.22
2017-08-14,79.75,79.75,79.75,79.75,79.75,13.0,0.01
2017-08-11,75.95,79.8,75.95,79.8,78.7,198.0,0.15
2017-08-10,80.8,81.6,77.55,79.9,79.9,339.0,0.27
2017-08-09,81.6,81.6,81.6,81.6,81.6,83.0,0.07
2017-08-08,81.4,85.35,77.35,85.2,85.2,800.0,0.66
2017-08-07,85.0,85.0,81.0,81.0,81.4,15.0,0.01
2017-08-04,87.4,87.4,85.0,85.0,85.0,116.0,0.1
2017-08-03,80.0,84.5,80.0,84.4,84.4,1431.0,1.15
2017-08-02,84.45,84.45,80.3,83.7,83.7,327.0,0.27
2017-08-01,88.25,92.65,84.0,84.5,84.5,718.0,0.64
2017-07-31,80.0,88.25,80.0,88.25,88.25,1229.0,1.07
2017-07-28,76.05,84.05,76.05,84.05,84.05,908.0,0.71
2017-07-27,80.05,80.05,80.05,80.05,80.05,1063.0,0.85
2017-07-26,84.25,84.25,84.25,84.25,84.25,323.0,0.27
2017-07-25,88.65,88.65,88.65,88.65,88.65,151.0,0.13
2017-07-24,93.3,93.3,93.3,93.3,93.3,101.0,0.09
2017-07-21,99.0,99.0,98.2,98.2,98.2,134.0,0.13
2017-07-20,113.0,113.0,103.35,103.35,103.35,2027.0,2.11
2017-07-19,108.8,109.05,99.25,108.8,108.75,1205.0,1.29
2017-07-18,109.7,109.7,99.55,108.8,103.9,1936.0,2.08
2017-07-17,104.0,104.55,104.0,104.5,104.5,649.0,0.68
2017-07-14,98.5,99.6,94.9,99.6,99.6,1079.0,1.05
2017-07-13,94.9,94.9,94.9,94.9,94.9,1414.0,1.34
2017-07-12,90.4,90.4,90.4,90.4,90.4,62.0,0.06
2017-07-11,82.0,86.1,82.0,86.1,86.1,383.0,0.32
2017-07-10,82.0,82.0,79.0,82.0,82.0,106.0,0.08
2017-07-07,74.65,82.45,74.65,82.45,82.45,1489.0,1.21
2017-07-06,82.65,82.65,78.55,78.55,78.55,456.0,0.36
2017-07-05,87.0,87.0,82.65,82.65,82.65,35.0,0.03
2017-07-04,90.0,90.0,86.05,87.0,87.0,68.0,0.06
2017-07-03,91.0,91.0,90.0,90.0,90.0,51.0,0.05
2017-06-30,91.9,91.9,91.0,91.0,91.0,128.0,0.12
2017-06-29,92.0,92.0,91.9,91.9,91.9,22.0,0.02
2017-06-28,100.0,100.0,96.3,96.35,96.35,426.0,0.41
2017-06-27,111.65,111.65,101.25,101.35,101.35,1674.0,1.81
2017-06-23,113.05,113.05,102.35,113.05,106.35,3451.0,3.75
2017-06-22,107.7,107.7,107.7,107.7,107.7,530.0,0.57
2017-06-21,97.75,102.6,97.75,102.6,102.6,312.0,0.31
2017-06-20,97.75,97.75,97.75,97.75,97.75,636.0,0.62
2017-06-19,93.1,93.1,93.1,93.1,93.1,120.0,0.11
2017-06-16,88.7,88.7,88.7,88.7,88.7,22.0,0.02
2017-06-15,84.5,84.5,84.5,84.5,84.5,551.0,0.47
2017-06-14,80.5,80.5,80.0,80.5,80.5,3286.0,2.64
2017-06-13,76.7,76.7,76.7,76.7,76.7,272.0,0.21
2017-06-12,70.05,73.55,66.55,71.3,73.05,1513.0,1.07
2017-06-09,70.2,70.2,70.05,70.05,70.05,16.0,0.01
2017-06-08,74.0,75.0,73.7,73.7,73.7,348.0,0.26
2017-06-07,77.55,77.55,77.55,77.55,77.55,127.0,0.1
2017-06-06,85.85,85.9,81.6,81.6,81.6,280.0,0.24
2017-06-05,85.85,85.85,85.85,85.85,85.85,147.0,0.13
2017-06-02,85.85,85.85,85.85,85.85,85.85,630.0,0.54
2017-06-01,95.1,95.1,90.35,90.35,90.35,3.0,0.0
2017-05-31,95.1,95.1,95.1,95.1,95.1,30.0,0.03
2017-05-30,100.1,100.1,100.1,100.1,100.1,5.0,0.01
2017-05-29,105.35,105.35,105.35,105.35,105.35,79.0,0.08
2017-05-26,110.85,110.85,110.85,110.85,110.85,20.0,0.02
2017-05-24,116.65,116.65,116.65,116.65,116.65,3.0,0.0
2017-05-22,122.75,122.75,122.75,122.75,122.75,10.0,0.01
2017-05-19,129.2,129.2,129.2,129.2,129.2,226.0,0.29
2017-05-18,136.0,136.0,136.0,136.0,136.0,31.0,0.04
2017-05-17,143.15,143.15,143.15,143.15,143.15,37.0,0.05
2017-05-16,150.65,150.65,150.65,150.65,150.65,67.0,0.1
2017-05-15,158.55,158.55,158.55,158.55,158.55,23.0,0.04
2017-05-12,166.85,166.85,166.85,166.85,166.85,95.0,0.16
2017-05-11,175.6,175.6,175.6,175.6,175.6,289.0,0.51
2017-05-10,202.0,202.0,184.8,184.8,184.8,4226.0,7.98
2017-05-09,194.5,194.5,194.5,194.5,194.5,110.0,0.21
2017-05-08,185.25,185.25,185.25,185.25,185.25,2.0,0.0
2017-05-05,176.45,176.45,176.45,176.45,176.45,333.0,0.59
2017-05-04,168.05,168.05,168.05,168.05,168.05,130.0,0.22
2017-05-03,160.05,160.05,160.05,160.05,160.05,287.0,0.46
2017-05-02,152.45,152.45,152.45,152.45,152.45,1760.0,2.68
2017-04-28,145.2,145.2,145.2,145.2,145.2,1366.0,1.98
2017-04-27,138.3,138.3,138.3,138.3,138.3,275.0,0.38
2017-04-26,131.75,131.75,131.75,131.75,131.75,155.0,0.2
2017-04-25,125.5,125.5,125.5,125.5,125.5,2.0,0.0
2017-04-24,119.55,119.55,119.55,119.55,119.55,79.0,0.09
2017-04-21,113.9,113.9,113.9,113.9,113.9,63.0,0.07
2017-04-20,108.5,108.5,108.5,108.5,108.5,715.0,0.78
2017-04-19,103.35,103.35,103.35,103.35,103.35,425.0,0.44
2017-04-18,98.45,98.45,98.45,98.45,98.45,119.0,0.12
2017-04-17,93.8,93.8,92.0,93.8,93.8,1039.0,0.97
2017-04-13,89.35,89.35,89.35,89.35,89.35,2105.0,1.88
2017-04-12,85.1,85.1,85.1,85.1,85.1,17.0,0.01
2017-04-11,81.05,81.05,81.05,81.05,81.05,210.0,0.17
2017-04-10,76.0,77.2,76.0,77.2,77.2,1604.0,1.24
2017-04-07,73.55,73.55,73.55,73.55,73.55,150.0,0.11
2017-04-06,70.05,70.05,70.05,70.05,70.05,630.0,0.44
2017-04-05,66.75,66.75,66.0,66.75,66.75,1461.0,0.97
2017-04-03,63.6,63.6,63.6,63.6,63.6,131.0,0.08
2017-03-31,60.6,60.6,60.6,60.6,60.6,20.0,0.01
2017-03-30,57.75,57.75,57.75,57.75,57.75,60.0,0.03
2017-03-29,55.0,55.0,55.0,55.0,55.0,604.0,0.33
2017-03-28,52.4,52.4,52.4,52.4,52.4,1900.0,1.0
2017-03-27,49.9,49.95,49.9,49.95,49.95,250.0,0.12
2017-03-24,47.6,47.6,47.6,47.6,47.6,280.0,0.13
2017-03-23,45.35,45.35,45.35,45.35,45.35,1.0,0.0
2017-03-22,43.2,43.2,43.2,43.2,43.2,5.0,0.0
2017-03-21,41.15,41.15,41.15,41.15,41.15,14.0,0.01
2017-03-17,39.2,39.2,39.2,39.2,39.2,1.0,0.0
2017-03-16,37.35,37.35,37.35,37.35,37.35,200.0,0.07
2017-03-14,213.35,213.6,213.35,213.6,213.6,720.0,1.54
2017-03-10,203.45,203.45,184.55,203.45,203.45,743.0,1.43
