Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,109.9,110.0,106.75,109.2,108.85,354301.0,385.38
2017-08-23,108.7,109.95,107.25,109.3,109.05,150312.0,163.83
2017-08-22,109.0,109.0,105.0,108.1,108.05,214090.0,229.62
2017-08-21,110.3,110.9,106.0,107.2,107.0,271255.0,293.31
2017-08-18,109.8,111.25,108.0,109.7,110.3,246279.0,270.56
2017-08-17,110.05,112.9,109.0,111.55,111.45,266796.0,296.47
2017-08-16,111.2,112.45,108.75,110.6,109.95,269345.0,297.26
2017-08-14,111.3,112.9,106.8,110.55,109.85,426495.0,466.66
2017-08-11,106.0,112.05,105.25,108.3,107.85,999569.0,1078.15
2017-08-10,123.6,124.4,113.7,118.0,116.9,1220955.0,1452.13
2017-08-09,126.95,126.95,121.2,122.5,122.8,451515.0,561.18
2017-08-08,128.0,129.75,124.55,126.8,126.15,334793.0,423.16
2017-08-07,124.65,130.5,124.55,128.2,127.75,544692.0,698.41
2017-08-04,125.0,126.0,120.6,124.0,123.8,320231.0,395.21
2017-08-03,127.4,128.2,123.6,124.55,124.4,223416.0,280.64
2017-08-02,126.5,131.45,125.5,126.5,126.95,353823.0,454.55
2017-08-01,125.4,126.4,124.0,125.5,125.8,325274.0,407.36
2017-07-31,127.9,128.0,123.9,124.7,125.05,254183.0,321.14
2017-07-28,126.0,130.0,124.1,126.0,126.3,306084.0,389.93
2017-07-27,129.85,131.4,124.95,126.8,127.4,331986.0,424.94
2017-07-26,129.45,132.0,126.85,129.0,128.5,347262.0,449.51
2017-07-25,132.85,133.5,126.5,127.6,127.95,497099.0,643.92
2017-07-24,133.8,135.5,130.6,132.0,131.6,830832.0,1112.92
2017-07-21,123.95,129.5,122.6,129.5,129.5,757079.0,960.9
2017-07-20,125.8,125.8,122.3,123.55,123.35,476807.0,590.24
2017-07-19,125.3,126.7,119.5,125.05,124.9,441917.0,546.38
2017-07-18,125.8,126.0,120.2,124.75,124.6,295700.0,367.6
2017-07-17,126.0,127.0,124.0,125.0,125.6,204289.0,256.65
2017-07-14,126.3,127.4,123.85,125.35,125.65,212620.0,266.11
2017-07-13,128.6,128.6,123.0,127.5,125.6,666278.0,835.9
2017-07-12,128.2,129.0,125.5,126.0,125.95,529939.0,669.63
2017-07-11,128.95,130.0,126.3,127.55,127.55,244073.0,311.84
2017-07-10,128.35,129.0,124.0,128.0,128.5,58548.0,74.84
2017-07-07,129.05,129.4,127.7,128.5,128.6,232236.0,298.19
2017-07-06,127.25,129.8,126.65,129.0,129.0,342056.0,440.12
2017-07-05,127.6,127.9,125.65,127.1,127.5,300767.0,381.68
2017-07-04,127.25,127.8,125.25,127.05,127.5,439358.0,557.71
2017-07-03,124.7,126.8,123.5,126.05,126.5,421240.0,529.45
2017-06-30,122.0,125.0,121.7,124.1,124.05,770411.0,953.47
2017-06-29,124.05,125.0,121.7,124.05,124.0,950043.0,1177.72
2017-06-28,125.75,128.65,119.0,123.05,123.25,1234126.0,1539.38
2017-06-27,120.1,124.95,118.0,124.3,124.05,858078.0,1047.64
2017-06-23,120.2,120.75,118.0,119.45,119.0,599033.0,712.22
2017-06-22,120.0,120.95,116.0,120.0,119.2,810088.0,970.94
2017-06-21,118.0,120.9,117.15,119.75,119.9,835868.0,998.79
2017-06-20,116.75,119.5,114.2,119.1,118.65,1015086.0,1188.6
2017-06-19,118.0,119.8,114.4,118.4,116.65,850400.0,1001.4
2017-06-16,116.55,121.25,115.5,117.3,117.9,4649942.0,5510.29
2017-06-15,113.0,117.4,111.25,115.75,116.5,2450132.0,2835.12
2017-06-14,114.45,114.45,108.05,113.0,113.0,2949024.0,3311.85
2017-06-13,113.2,115.0,110.3,110.5,111.25,815979.0,920.09
2017-06-12,115.45,117.55,110.7,111.85,111.85,1077332.0,1227.73
2017-06-09,110.0,118.1,108.65,115.8,114.8,3361734.0,3831.26
2017-06-08,121.0,121.2,113.85,113.85,113.85,1625353.0,1862.66
2017-06-07,125.0,128.8,119.8,119.8,119.8,1904039.0,2327.42
2017-06-06,132.7,135.7,125.6,125.6,126.1,1270752.0,1652.44
2017-06-05,136.0,137.2,127.05,131.55,132.2,2237467.0,2951.72
2017-06-02,130.8,133.4,130.4,133.4,133.4,2416004.0,3208.46
2017-06-01,121.8,127.05,121.7,127.05,127.05,2285171.0,2887.71
2017-05-31,116.4,121.05,116.15,121.05,121.0,2076999.0,2500.11
2017-05-30,110.05,115.9,104.9,115.9,115.3,1137688.0,1281.42
2017-05-29,115.0,115.0,109.35,110.0,110.4,1678906.0,1863.34
2017-05-26,109.9,115.1,109.15,115.1,115.1,1438393.0,1632.71
2017-05-25,105.0,110.75,100.75,110.75,109.65,1160881.0,1241.11
2017-05-24,104.5,107.0,104.0,105.8,105.5,1037850.0,1094.06
2017-05-23,107.0,107.9,102.55,104.25,104.45,2162299.0,2253.43
2017-05-22,106.7,109.25,105.55,107.6,107.9,1777979.0,1914.39
2017-05-19,103.6,106.5,101.35,105.75,105.35,1733896.0,1806.65
2017-05-18,100.15,103.4,97.05,101.75,101.8,3445099.0,3496.34
