Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,122.0,125.85,120.0,123.35,122.2,10628.0,13.07
2017-08-23,125.8,129.0,120.2,122.0,121.0,3487.0,4.27
2017-08-22,126.0,129.0,119.0,121.5,121.0,9173.0,11.27
2017-08-21,130.0,132.65,125.1,128.45,125.6,4548.0,5.77
2017-08-18,125.0,130.5,124.0,128.5,129.8,21177.0,27.13
2017-08-17,125.0,130.3,125.0,128.95,128.1,29231.0,37.37
2017-08-16,122.05,125.95,121.55,125.0,124.0,10546.0,13.08
2017-08-14,134.0,135.0,121.25,121.25,123.05,12758.0,16.15
2017-08-11,118.6,124.7,118.0,122.0,121.7,12169.0,14.75
2017-08-10,126.1,129.0,120.1,125.0,124.75,15556.0,19.49
2017-08-09,123.0,134.95,123.0,128.0,127.5,7528.0,9.69
2017-08-08,134.45,134.5,128.7,131.0,131.05,10896.0,14.21
2017-08-07,125.0,139.0,125.0,130.15,132.1,25460.0,34.1
2017-08-04,133.55,138.95,126.2,131.0,131.15,55217.0,72.57
2017-08-03,147.0,150.95,131.55,136.1,136.25,124495.0,173.12
2017-08-02,144.8,148.0,140.2,143.0,141.15,32881.0,47.34
2017-08-01,139.1,144.0,139.1,143.9,143.25,6279.0,8.97
2017-07-31,145.0,145.0,139.5,139.5,140.25,5240.0,7.43
2017-07-28,150.0,152.0,140.05,144.0,146.65,14536.0,21.17
2017-07-27,144.95,147.0,141.0,147.0,147.0,54239.0,79.64
2017-07-26,132.0,140.0,132.0,140.0,140.0,10483.0,14.64
2017-07-25,131.2,137.35,130.7,132.65,133.35,13253.0,17.51
2017-07-24,138.7,143.0,134.5,136.1,136.15,29839.0,41.11
2017-07-21,154.45,154.45,140.5,142.2,141.55,58821.0,88.55
2017-07-20,140.1,147.1,140.0,147.1,147.1,24186.0,34.92
