Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,81.95,82.55,80.8,82.55,82.55,24513.0,20.15
2017-08-23,73.05,78.65,73.05,78.65,78.65,14485.0,11.23
2017-08-22,78.0,80.0,74.85,75.15,74.95,28768.0,21.68
2017-08-21,85.5,85.75,78.55,78.6,78.75,69745.0,56.55
2017-08-18,84.35,84.35,76.35,83.0,82.65,242625.0,200.69
2017-08-17,80.0,80.35,77.0,80.35,80.35,34313.0,27.52
2017-08-16,68.0,73.05,68.0,73.05,73.05,106843.0,76.54
2017-08-14,65.9,66.45,65.9,66.45,66.45,28913.0,19.18
2017-08-11,53.35,62.35,53.05,61.05,60.45,79340.0,46.22
2017-08-10,61.55,61.55,55.0,56.1,56.7,34060.0,19.43
2017-08-09,61.35,62.5,58.35,59.0,59.5,16892.0,10.15
2017-08-08,67.3,69.9,60.55,63.0,63.55,28307.0,17.91
2017-08-07,68.5,70.0,66.55,67.25,67.25,23691.0,16.18
2017-08-04,66.0,67.8,64.05,67.1,67.25,29769.0,19.73
2017-08-03,70.9,71.0,67.0,67.5,67.25,100590.0,69.43
2017-08-02,68.05,68.05,68.05,68.05,68.05,25793.0,17.55
2017-08-01,64.85,64.85,64.85,64.85,64.85,20084.0,13.02
2017-07-31,62.35,63.0,60.0,63.0,61.8,15510.0,9.51
2017-07-28,62.25,63.6,59.55,60.55,60.6,8152.0,4.99
2017-07-27,62.0,62.5,60.25,60.25,60.6,8343.0,5.1
2017-07-26,63.0,63.5,60.0,62.0,61.85,13155.0,8.12
2017-07-25,62.3,63.5,61.0,61.5,61.55,22852.0,14.17
2017-07-24,64.3,64.3,59.75,61.2,61.0,16173.0,9.9
2017-07-21,61.85,62.85,60.55,61.5,61.95,8566.0,5.3
2017-07-20,57.25,62.0,57.25,59.7,60.55,7183.0,4.35
2017-07-19,60.8,60.8,59.5,60.45,60.0,8042.0,4.83
2017-07-18,61.5,61.9,60.6,60.8,60.8,6296.0,3.86
2017-07-17,60.6,63.9,60.6,62.25,62.4,14300.0,8.97
2017-07-14,63.65,63.65,61.45,62.1,62.3,28890.0,17.94
2017-07-13,66.5,67.7,61.45,63.65,62.55,63726.0,41.53
2017-07-12,64.5,64.5,62.5,64.5,64.5,41777.0,26.93
2017-07-11,59.75,61.45,59.6,61.45,61.45,21189.0,12.93
2017-07-10,62.0,62.0,57.8,57.85,58.55,9844.0,5.73
2017-07-07,61.0,62.0,58.25,60.85,60.8,24611.0,14.93
