Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,392.7,401.9,392.05,394.5,398.95,120795.0,479.72
2017-08-23,392.0,395.95,390.1,390.25,393.1,77000.0,303.04
2017-08-22,391.55,396.3,389.65,392.6,393.4,72804.0,287.11
2017-08-21,396.5,399.0,390.4,392.0,393.4,106853.0,422.94
2017-08-18,394.0,398.0,391.05,393.2,394.95,106898.0,422.01
2017-08-17,397.0,398.0,391.7,394.15,396.1,97535.0,386.19
2017-08-16,398.0,399.85,390.1,393.85,396.1,81698.0,323.8
2017-08-14,397.8,404.75,391.2,391.2,397.6,144824.0,576.53
2017-08-11,395.0,398.65,390.15,394.1,395.2,234118.0,925.99
2017-08-10,393.95,403.4,388.5,389.0,396.85,110639.0,441.08
2017-08-09,398.9,401.95,392.1,396.75,395.9,89101.0,355.15
2017-08-08,401.35,404.4,396.65,397.05,399.4,73616.0,294.91
2017-08-07,401.55,404.0,397.0,397.0,399.8,87616.0,351.38
2017-08-04,402.5,404.0,398.55,400.0,400.4,76096.0,304.68
2017-08-03,399.8,408.0,398.3,399.6,401.05,69803.0,281.43
2017-08-02,399.7,403.45,396.05,396.2,399.15,87877.0,351.59
2017-08-01,402.2,402.2,398.05,401.4,400.55,77844.0,311.91
2017-07-31,400.65,404.55,398.15,400.0,400.25,50373.0,201.94
2017-07-28,402.7,405.55,399.05,400.65,402.8,57019.0,230.06
2017-07-27,402.85,408.35,398.8,399.0,405.15,66554.0,268.66
2017-07-26,400.5,403.85,397.1,403.0,402.85,83052.0,333.77
2017-07-25,401.7,402.8,397.1,397.95,401.65,69251.0,277.36
2017-07-24,403.0,403.9,397.05,399.65,400.1,69384.0,278.03
2017-07-21,403.75,403.8,400.0,401.0,402.75,51058.0,205.7
2017-07-20,404.0,405.95,403.0,403.05,403.75,89908.0,362.82
2017-07-19,405.8,405.85,402.15,403.1,403.65,74298.0,299.81
2017-07-18,402.85,404.45,401.0,403.0,403.55,92233.0,371.94
2017-07-17,398.5,403.95,398.5,401.05,401.4,57426.0,230.44
2017-07-14,400.2,403.8,399.1,399.5,400.25,96014.0,385.05
2017-07-13,405.0,408.85,399.3,400.0,402.2,98414.0,396.97
2017-07-12,402.0,413.85,399.15,401.7,402.4,99541.0,404.86
2017-07-11,405.9,411.0,391.1,399.5,402.3,265311.0,1060.66
