Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,313.0,318.0,309.0,314.0,312.55,2442.0,7.65
2017-08-23,311.0,314.6,310.0,310.0,312.9,636.0,1.98
2017-08-22,305.45,318.45,305.45,311.1,311.35,3184.0,9.93
2017-08-21,310.0,313.9,306.4,308.9,308.6,877.0,2.73
2017-08-18,310.05,315.0,308.0,313.4,310.1,1403.0,4.36
2017-08-17,312.85,316.5,307.0,313.0,313.7,1106.0,3.45
2017-08-16,310.0,314.0,306.0,312.85,310.1,701.0,2.17
2017-08-14,310.0,313.0,299.05,303.5,304.05,2144.0,6.52
2017-08-11,307.0,313.0,295.4,299.0,299.05,8939.0,26.86
2017-08-10,318.0,320.0,310.1,313.0,312.85,2926.0,9.19
2017-08-09,317.5,321.5,315.95,321.4,319.75,2154.0,6.86
2017-08-08,324.4,324.4,315.2,319.8,319.45,2969.0,9.44
2017-08-07,316.4,325.0,316.4,321.9,321.75,3551.0,11.33
2017-08-04,321.0,324.45,310.5,320.0,317.7,5240.0,16.7
2017-08-03,329.0,332.75,316.05,321.95,320.95,4253.0,13.79
2017-08-02,331.0,331.0,324.0,327.0,324.7,1927.0,6.28
2017-08-01,335.1,335.1,324.0,326.0,326.35,2253.0,7.34
2017-07-31,329.9,332.5,325.1,332.0,330.15,3895.0,12.83
2017-07-28,327.4,328.95,325.0,325.05,327.4,996.0,3.26
2017-07-27,330.0,334.8,319.7,325.0,325.0,4166.0,13.51
2017-07-26,335.0,336.75,331.45,332.0,333.0,1602.0,5.34
2017-07-25,335.1,347.7,330.05,336.0,335.3,7813.0,26.28
2017-07-24,322.75,332.95,322.75,332.0,331.15,4813.0,15.87
2017-07-21,324.1,327.8,323.15,324.15,325.8,4079.0,13.28
2017-07-20,331.0,331.0,324.0,325.0,325.5,2789.0,9.15
2017-07-19,322.1,334.95,322.1,330.95,329.85,2600.0,8.5
2017-07-18,318.05,332.0,318.05,325.9,323.15,6462.0,20.97
2017-07-17,329.9,329.9,319.0,320.25,320.25,3319.0,10.67
2017-07-14,325.05,329.95,319.6,324.7,324.0,3547.0,11.45
