Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,1798.75,1869.9,1752.0,1838.85,1845.55,31893.0,579.56
2017-09-22,1800.35,1816.0,1789.4,1800.0,1800.95,24540.0,442.69
2017-09-21,1760.0,1811.8,1759.25,1800.35,1801.2,39198.0,703.61
2017-09-20,1779.95,1795.0,1750.0,1754.7,1753.0,52845.0,932.72
2017-09-19,1807.95,1807.95,1761.7,1770.0,1777.35,19096.0,340.98
2017-09-18,1797.9,1819.0,1734.0,1800.0,1808.05,54082.0,965.72
2017-09-15,1780.0,1810.6,1774.1,1790.0,1793.6,20883.0,374.18
2017-09-14,1800.2,1811.0,1786.0,1795.0,1797.35,23623.0,425.07
2017-09-13,1800.0,1814.0,1785.85,1790.05,1800.35,46461.0,836.88
2017-09-12,1816.95,1816.95,1792.8,1796.75,1798.75,16589.0,298.59
2017-09-11,1795.0,1840.0,1775.0,1807.9,1816.95,26352.0,478.75
2017-09-08,1791.1,1796.0,1770.2,1781.35,1787.35,17183.0,306.46
2017-09-07,1771.4,1794.9,1755.0,1776.0,1787.0,14687.0,261.69
2017-09-06,1790.0,1805.0,1760.1,1760.15,1764.95,16178.0,287.02
2017-09-05,1810.0,1814.7,1758.2,1800.0,1803.95,44425.0,800.07
2017-09-04,1792.2,1805.2,1761.25,1802.0,1801.35,24217.0,433.25
2017-09-01,1800.0,1807.35,1780.0,1784.7,1792.15,28257.0,507.7
2017-08-31,1777.0,1812.0,1760.0,1796.6,1800.35,28084.0,503.43
2017-08-30,1769.45,1785.0,1746.0,1770.0,1775.6,24335.0,430.67
2017-08-29,1775.0,1779.95,1748.0,1750.0,1751.2,30618.0,538.33
2017-08-28,1782.0,1804.65,1766.6,1784.0,1778.55,54295.0,966.11
2017-08-24,1820.0,1820.0,1775.0,1781.0,1787.0,26656.0,478.74
2017-08-23,1800.0,1813.0,1780.0,1807.0,1805.45,36958.0,665.69
2017-08-22,1801.8,1810.0,1743.0,1748.0,1755.1,18860.0,333.94
2017-08-21,1800.0,1827.0,1785.0,1808.65,1816.5,16311.0,294.96
2017-08-18,1834.85,1834.85,1784.05,1790.0,1799.85,18824.0,340.29
2017-08-17,1825.0,1848.0,1801.75,1814.9,1818.5,38442.0,703.65
2017-08-16,1759.9,1832.95,1745.25,1818.7,1815.35,31273.0,558.97
2017-08-14,1696.0,1760.0,1683.05,1750.0,1749.4,26876.0,463.35
2017-08-11,1680.05,1752.15,1578.3,1702.0,1705.75,202335.0,3365.13
2017-08-10,1785.0,1799.95,1724.0,1724.0,1728.6,75369.0,1309.56
2017-08-09,1830.5,1860.55,1770.2,1777.5,1791.3,28306.0,518.13
2017-08-08,1885.0,1894.55,1836.1,1840.0,1846.25,44291.0,826.09
2017-08-07,1812.3,1890.0,1801.25,1890.0,1875.0,37389.0,695.71
2017-08-04,1785.0,1835.0,1785.0,1831.6,1828.8,26393.0,479.71
2017-08-03,1792.0,1820.9,1788.1,1788.1,1805.1,18416.0,332.51
2017-08-02,1794.0,1810.0,1785.0,1790.0,1796.35,30619.0,551.42
2017-08-01,1826.75,1834.4,1785.0,1790.0,1793.3,19004.0,343.22
2017-07-31,1820.8,1844.0,1775.0,1820.55,1832.0,49648.0,893.98
2017-07-28,1849.8,1853.6,1796.4,1798.9,1809.2,54746.0,996.15
2017-07-27,1842.0,1860.0,1825.0,1830.0,1843.05,29129.0,537.75
2017-07-26,1830.0,1847.0,1825.1,1840.05,1843.8,23419.0,430.26
