Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,700.0,700.0,685.0,695.0,695.0,127.0,0.88
2017-08-23,716.5,716.5,665.0,705.0,705.0,17.0,0.12
2017-08-22,724.0,724.0,684.05,684.05,687.45,30.0,0.21
2017-08-21,735.0,735.0,668.2,715.0,688.35,176.0,1.2
2017-08-18,708.0,750.0,708.0,708.0,717.2,308.0,2.27
2017-08-17,693.25,723.0,693.15,723.0,701.65,131.0,0.92
2017-08-16,727.9,750.0,668.4,750.0,722.0,482.0,3.46
2017-08-14,745.0,745.0,607.95,688.0,708.65,1418.0,9.68
2017-08-11,710.6,750.0,650.3,735.0,738.25,679.0,5.0
2017-08-10,687.0,687.0,655.1,655.1,655.1,115.0,0.77
2017-08-09,678.0,708.0,647.0,685.0,686.5,66.0,0.45
2017-08-08,730.0,732.0,700.1,730.0,707.1,267.0,1.9
2017-08-07,716.8,733.0,700.0,725.0,725.0,352.0,2.52
2017-08-04,705.0,716.8,698.0,716.8,713.5,28.0,0.2
2017-08-03,716.8,722.9,695.0,722.0,705.15,172.0,1.23
2017-08-02,703.0,722.9,703.0,722.9,709.15,214.0,1.52
2017-08-01,702.0,707.85,702.0,707.85,707.85,6.0,0.04
2017-07-31,706.0,720.0,700.0,700.0,711.25,425.0,3.02
2017-07-28,709.9,718.0,695.0,706.0,706.0,268.0,1.89
2017-07-27,750.0,750.0,710.0,724.0,715.4,1712.0,12.28
2017-07-26,790.0,790.0,742.0,742.0,749.85,759.0,5.72
2017-07-25,816.95,817.0,725.0,763.0,763.0,63.0,0.49
2017-07-24,775.0,776.0,730.0,750.0,750.0,430.0,3.29
2017-07-21,788.05,793.0,765.0,765.0,767.2,57.0,0.44
2017-07-20,816.4,816.4,765.0,788.0,785.25,377.0,2.94
2017-07-19,775.7,820.0,774.0,790.2,789.8,372.0,2.95
2017-07-18,797.0,811.0,796.0,796.0,796.0,337.0,2.69
2017-07-17,828.2,855.9,784.0,800.0,790.8,503.0,4.04
2017-07-14,830.0,847.0,803.0,803.0,812.05,485.0,4.0
2017-07-13,774.0,850.0,774.0,830.0,830.0,125.0,1.02
2017-07-12,877.0,877.0,805.0,820.0,811.05,401.0,3.28
2017-07-11,882.0,882.0,803.0,825.0,808.9,562.0,4.59
2017-07-10,850.0,850.0,791.1,845.0,805.8,25.0,0.2
2017-07-07,895.0,895.0,773.0,850.0,822.7,933.0,7.82
2017-07-06,784.9,825.0,776.0,825.0,813.65,556.0,4.45
2017-07-05,715.0,769.0,715.0,769.0,769.0,367.0,2.74
2017-07-04,720.0,725.0,700.25,711.0,718.9,1361.0,9.63
2017-07-03,750.0,770.0,750.0,750.0,750.65,110.0,0.83
2017-06-30,736.3,779.0,735.0,749.0,749.0,53.0,0.39
2017-06-29,770.0,789.75,770.0,789.75,789.75,39.0,0.3
2017-06-28,789.75,789.75,772.05,789.0,789.0,8.0,0.06
2017-06-27,711.05,790.0,711.05,775.0,754.8,512.0,3.91
2017-06-23,800.5,800.5,761.0,790.0,790.0,374.0,2.93
