Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,185.5,190.75,184.05,184.6,186.35,461855.0,864.06
2017-08-23,185.0,188.0,184.1,184.1,184.85,414815.0,768.12
2017-08-22,183.3,184.9,182.05,182.35,182.6,459351.0,841.22
2017-08-21,176.45,182.15,175.7,180.95,180.7,457916.0,821.53
2017-08-18,177.4,177.4,174.05,174.15,174.35,483621.0,845.14
2017-08-17,175.95,180.0,174.0,175.0,175.65,359381.0,631.86
2017-08-16,173.3,180.95,173.15,175.8,175.95,318641.0,561.04
2017-08-14,174.0,178.0,172.2,175.95,175.2,387481.0,676.61
2017-08-11,168.95,175.0,150.0,174.5,172.8,424443.0,700.77
2017-08-10,176.05,176.65,165.0,165.0,167.5,483519.0,832.21
2017-08-09,175.0,181.9,172.3,173.1,175.6,490277.0,869.74
2017-08-08,180.7,185.1,177.1,179.35,178.85,491891.0,887.07
2017-08-07,176.6,183.15,176.6,178.0,180.65,500496.0,905.21
2017-08-04,183.2,183.2,177.25,181.9,181.2,501821.0,903.42
2017-08-03,178.0,179.4,172.25,177.25,178.05,492727.0,868.41
2017-08-02,174.0,180.7,172.3,174.7,174.95,555765.0,977.99
2017-08-01,181.5,181.5,170.1,171.0,174.95,522010.0,928.98
2017-07-31,181.2,181.95,180.3,180.8,181.15,492612.0,891.9
2017-07-28,180.95,181.8,180.0,180.1,180.3,452177.0,815.83
2017-07-27,184.45,184.55,180.1,181.0,180.9,502912.0,915.86
2017-07-26,180.0,184.2,180.0,183.5,183.0,504061.0,920.81
2017-07-25,185.05,185.1,181.05,181.5,181.8,662670.0,1211.68
2017-07-24,185.1,186.55,182.5,182.85,183.15,567602.0,1048.27
2017-07-21,184.85,186.8,183.5,185.0,183.9,472082.0,876.33
2017-07-20,185.0,188.0,183.05,184.0,184.3,533560.0,989.83
2017-07-19,185.0,186.5,181.5,184.0,184.6,517673.0,955.7
2017-07-18,186.5,186.9,180.1,182.5,183.2,568342.0,1053.23
2017-07-17,188.6,192.0,183.75,185.7,186.0,573491.0,1075.7
2017-07-14,192.65,193.7,186.25,187.05,188.7,539665.0,1032.42
2017-07-13,195.1,197.7,190.25,190.85,191.25,504083.0,972.99
2017-07-12,193.6,199.0,193.2,195.5,195.15,486638.0,949.61
2017-07-11,200.0,200.0,190.25,192.05,193.15,480341.0,941.79
2017-07-10,202.75,203.95,198.5,198.65,199.65,209157.0,417.87
2017-07-07,201.5,202.95,199.1,199.9,199.9,489942.0,985.37
2017-07-06,201.4,203.0,199.4,202.4,201.6,543872.0,1096.22
2017-07-05,197.55,208.8,197.55,201.8,201.05,803667.0,1635.24
2017-07-04,188.3,196.0,188.05,194.0,193.9,686957.0,1325.59
2017-07-03,185.75,188.95,184.1,188.95,187.85,567081.0,1054.87
2017-06-30,186.9,187.15,182.85,183.0,184.4,624725.0,1158.75
2017-06-29,185.65,187.55,185.2,187.0,185.35,676536.0,1259.5
2017-06-28,187.05,187.6,183.5,184.15,184.25,751763.0,1390.79
2017-06-27,180.0,187.45,180.0,187.4,185.85,657279.0,1219.52
2017-06-23,185.75,187.6,180.3,186.95,186.8,488778.0,899.81
2017-06-22,190.0,190.0,184.35,184.35,185.85,488313.0,917.25
2017-06-21,188.95,190.2,187.3,187.65,188.05,624388.0,1179.59
2017-06-20,188.4,193.0,186.5,188.25,188.2,707889.0,1343.49
2017-06-19,193.3,199.8,189.75,190.55,191.3,758621.0,1458.91
2017-06-16,193.25,193.8,190.3,191.95,191.35,786985.0,1512.39
2017-06-15,193.4,195.0,189.75,192.95,191.35,664154.0,1278.41
2017-06-14,189.8,194.75,189.0,193.0,192.6,879152.0,1696.56
2017-06-13,189.6,189.65,185.55,188.15,188.5,548401.0,1032.01
2017-06-12,188.4,190.15,185.55,186.4,188.15,480124.0,900.61
2017-06-09,189.95,190.0,183.0,187.6,187.4,649825.0,1209.38
2017-06-08,191.05,195.0,188.4,189.0,189.2,834113.0,1594.47
2017-06-07,190.7,196.6,189.0,190.0,191.05,889657.0,1711.58
2017-06-06,190.9,198.4,188.5,189.0,189.75,655474.0,1251.35
2017-06-05,191.05,198.1,187.6,188.15,188.2,421095.0,800.87
2017-06-02,193.0,200.95,186.05,190.0,189.35,700527.0,1336.29
2017-06-01,185.95,198.25,182.2,191.0,192.55,738951.0,1380.75
2017-05-31,175.3,191.7,175.3,187.0,185.55,732608.0,1356.44
2017-05-30,171.2,183.95,171.2,176.65,177.8,547412.0,979.16
2017-05-29,190.0,192.15,175.75,180.0,180.0,1114728.0,2068.57
2017-05-26,167.15,175.0,167.15,175.0,173.65,790387.0,1341.09
2017-05-25,165.05,171.1,163.5,171.0,166.4,774126.0,1277.34
2017-05-24,169.0,173.5,161.9,164.05,164.2,824786.0,1391.59
2017-05-23,166.45,170.0,160.0,166.0,167.65,639931.0,1060.87
2017-05-22,167.0,169.0,165.05,167.3,166.75,643575.0,1066.65
2017-05-19,166.05,167.3,165.05,165.25,165.8,764949.0,1268.6
2017-05-18,164.25,167.25,163.0,165.6,165.2,489171.0,809.08
2017-05-17,168.95,169.9,164.95,165.1,166.05,829359.0,1375.78
2017-05-16,165.75,169.8,164.5,168.35,167.95,554317.0,922.12
2017-05-15,176.5,176.5,165.1,166.0,165.75,504437.0,859.32
2017-05-12,173.0,176.0,169.0,172.85,170.9,777800.0,1343.56
2017-05-11,167.0,178.35,150.0,172.15,171.85,598021.0,1020.51
2017-05-10,159.0,165.6,156.3,165.0,165.05,597989.0,959.96
2017-05-09,163.75,164.8,155.2,156.05,159.15,531899.0,855.4
2017-05-08,165.75,169.9,161.0,162.35,162.25,638983.0,1059.11
2017-05-05,165.55,169.4,158.5,164.0,164.4,600161.0,986.03
2017-05-04,168.0,171.15,163.2,165.55,165.5,561774.0,935.64
