Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-24,134.0,142.5,133.8,136.8,136.5,140472.0,195.89
2017-08-23,132.95,136.0,132.0,135.3,133.95,24600.0,32.92
2017-08-22,134.0,136.8,130.0,131.7,130.8,27328.0,36.22
2017-08-21,135.6,138.0,134.1,135.5,135.05,19628.0,26.77
2017-08-18,135.05,137.0,132.95,134.3,134.45,16084.0,21.69
2017-08-17,136.7,138.75,135.0,135.0,135.2,19435.0,26.5
2017-08-16,133.5,138.9,133.1,137.45,136.65,58893.0,80.65
2017-08-14,130.05,137.5,130.0,133.5,133.4,34528.0,46.26
2017-08-11,129.8,133.2,120.05,129.0,128.1,62953.0,80.55
2017-08-10,138.4,138.4,128.0,132.5,131.1,60039.0,80.23
2017-08-09,142.0,144.0,138.5,138.55,139.0,42241.0,59.27
2017-08-08,146.3,150.0,140.1,143.0,143.2,88813.0,128.41
2017-08-07,142.0,147.0,142.0,145.55,146.25,55592.0,80.93
2017-08-04,136.5,142.9,134.5,142.5,142.2,45134.0,62.96
2017-08-03,138.0,139.8,136.2,137.25,136.85,21527.0,29.57
2017-08-02,140.9,143.6,138.0,139.0,139.05,30538.0,43.01
2017-08-01,144.6,144.9,140.5,140.5,140.9,28274.0,40.19
2017-07-31,140.05,145.1,140.05,143.25,144.05,47776.0,68.43
2017-07-28,141.4,141.95,140.1,141.0,140.95,30775.0,43.36
2017-07-27,143.95,145.85,141.0,141.5,141.4,34305.0,48.79
2017-07-26,143.05,147.05,142.05,144.0,143.3,41042.0,59.33
2017-07-25,144.45,146.0,141.2,144.5,143.5,49206.0,70.32
2017-07-24,147.0,147.9,141.1,143.65,144.0,54912.0,79.77
2017-07-21,151.7,151.7,144.0,146.5,145.45,46395.0,68.35
2017-07-20,142.2,151.0,142.0,149.15,149.35,235933.0,349.55
2017-07-19,144.4,145.2,141.3,141.4,142.15,36425.0,52.22
2017-07-18,143.2,144.4,140.6,142.5,142.05,53038.0,75.66
2017-07-17,146.0,148.2,142.5,142.7,143.15,35394.0,51.28
2017-07-14,143.2,151.0,140.1,144.1,145.05,167200.0,245.79
2017-07-13,146.8,147.0,141.6,143.75,143.5,69889.0,101.2
2017-07-12,145.35,146.8,143.7,145.0,145.3,85240.0,123.77
2017-07-11,142.55,152.4,139.05,143.85,143.95,414521.0,607.62
2017-07-10,137.75,140.9,136.15,139.5,140.0,12678.0,17.72
2017-07-07,138.1,139.25,136.75,137.3,137.0,40748.0,56.13
2017-07-06,141.85,142.6,138.75,138.85,139.3,53972.0,75.79
2017-07-05,143.0,143.45,139.55,139.55,140.25,39185.0,55.24
2017-07-04,139.15,144.0,137.8,141.45,141.45,108782.0,154.3
2017-07-03,137.0,139.2,136.05,139.2,138.75,64412.0,89.21
2017-06-30,134.4,138.0,132.95,137.0,136.85,69143.0,94.09
2017-06-29,133.5,139.95,133.5,135.0,134.4,34382.0,46.71
2017-06-28,135.95,136.95,133.0,134.0,133.95,44067.0,59.6
2017-06-27,135.0,136.9,130.95,135.65,135.45,71595.0,95.85
2017-06-23,134.6,138.8,130.2,135.0,134.95,175392.0,236.44
2017-06-22,136.5,137.95,133.45,133.5,135.15,37217.0,50.55
2017-06-21,136.0,138.55,135.0,136.15,136.95,51396.0,70.38
