Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,932.9,944.7,906.45,942.0,937.0,1916957.0,17749.56
2017-09-22,962.65,962.65,938.9,942.95,943.15,1526672.0,14534.5
2017-09-21,960.2,971.9,951.0,964.9,965.45,1554639.0,14963.26
2017-09-20,950.0,968.7,946.3,964.8,964.9,1735387.0,16676.09
2017-09-19,948.95,958.65,940.1,947.6,949.5,1444087.0,13737.67
2017-09-18,951.0,955.7,941.5,946.0,943.85,1090464.0,10329.36
2017-09-15,950.1,955.9,939.0,944.0,944.1,1590976.0,15075.25
2017-09-14,951.8,965.7,949.05,955.95,957.3,1861416.0,17804.33
2017-09-13,961.0,969.6,947.65,952.55,953.05,1408475.0,13543.02
2017-09-12,970.0,975.2,953.3,966.7,967.65,3041466.0,29372.0
2017-09-11,934.85,980.5,919.3,967.05,966.9,7446993.0,71631.44
2017-09-08,956.0,957.55,930.5,933.55,934.7,3005158.0,28301.27
2017-09-07,955.05,966.8,941.35,945.65,945.6,3075633.0,29333.35
2017-09-06,912.55,962.2,900.0,949.0,954.05,5177027.0,48507.65
2017-09-05,914.45,928.7,912.0,921.85,923.4,2635700.0,24315.9
2017-09-04,904.95,914.65,872.05,903.55,904.8,3025892.0,27220.24
2017-09-01,884.0,917.95,880.1,904.5,906.3,2529544.0,22839.48
2017-08-31,874.0,887.4,871.1,881.05,879.35,2642684.0,23220.19
2017-08-30,869.9,884.5,865.7,876.0,878.1,1788030.0,15704.31
2017-08-29,877.0,882.75,852.6,858.5,861.35,2338009.0,20307.67
2017-08-28,884.25,896.5,880.0,886.55,887.7,2176979.0,19336.61
2017-08-24,894.7,901.15,875.0,877.5,880.45,3283685.0,29165.77
2017-08-23,856.55,892.0,855.85,891.65,888.2,2380476.0,20820.19
2017-08-22,874.95,877.4,845.0,852.0,850.2,1910925.0,16414.12
2017-08-21,875.1,893.0,860.75,866.0,867.55,3220147.0,28339.65
2017-08-18,839.5,882.4,829.1,875.55,876.6,3001510.0,25642.04
2017-08-17,827.0,851.5,823.0,846.8,847.7,2054763.0,17194.47
2017-08-16,806.8,826.75,803.15,825.1,823.45,1493694.0,12207.89
2017-08-14,793.0,807.65,792.7,805.7,802.75,1592887.0,12746.69
2017-08-11,756.85,792.6,753.0,786.15,785.9,2126018.0,16516.29
2017-08-10,792.1,807.2,761.8,789.55,780.25,2366053.0,18631.25
2017-08-09,813.0,825.9,788.05,788.5,797.3,1455403.0,11776.63
2017-08-08,832.4,835.9,813.0,813.0,815.95,1086457.0,8931.71
2017-08-07,843.0,848.55,823.5,830.3,829.8,1118511.0,9386.97
2017-08-04,817.7,843.0,811.1,841.7,840.45,1834609.0,15208.32
2017-08-03,844.85,849.3,819.0,819.35,822.0,1644149.0,13695.28
2017-08-02,854.55,855.2,838.45,842.0,842.1,1275155.0,10792.48
2017-08-01,847.0,856.8,841.0,851.0,851.8,1300144.0,11048.38
2017-07-31,853.3,861.9,840.15,844.0,844.8,2718509.0,23103.64
2017-07-28,821.45,855.8,816.0,852.65,849.05,4756210.0,39805.59
2017-07-27,796.0,832.8,795.9,817.0,818.5,8556576.0,69920.2
2017-07-26,794.5,813.8,771.0,789.5,789.75,7844622.0,62620.29
2017-07-25,786.5,797.0,782.0,793.7,793.3,1021328.0,8070.69
2017-07-24,784.7,799.0,777.6,783.45,784.85,1330741.0,10496.33
2017-07-21,781.0,791.0,768.8,781.1,780.95,1640138.0,12824.89
2017-07-20,774.4,784.8,774.0,778.0,777.1,1353694.0,10560.65
2017-07-19,788.0,789.95,770.0,771.0,772.6,4180203.0,32500.05
2017-07-18,793.9,798.7,781.05,785.3,786.5,1877673.0,14838.18
2017-07-17,795.0,805.5,781.1,790.2,798.75,2095284.0,16604.51
2017-07-14,784.5,798.9,770.5,793.0,793.3,2368224.0,18639.92
2017-07-13,769.05,788.85,766.0,784.5,786.35,3418865.0,26647.68
2017-07-12,752.0,772.5,741.25,763.7,765.1,2511477.0,19005.46
2017-07-11,769.0,774.65,746.7,750.5,751.35,3062438.0,23373.8
2017-07-10,748.0,770.5,736.3,767.55,765.05,938306.0,7134.85
2017-07-07,720.85,744.35,720.85,739.5,739.4,1955860.0,14389.17
2017-07-06,744.2,748.0,723.0,724.4,724.85,1650502.0,12174.0
2017-07-05,722.0,744.95,717.0,743.0,741.3,2860063.0,20918.2
2017-07-04,720.0,733.9,716.15,716.75,718.95,2627247.0,19033.01
2017-07-03,724.8,725.4,715.0,718.85,718.65,1491227.0,10735.19
2017-06-30,708.8,726.0,702.1,720.0,720.65,2452148.0,17571.31
2017-06-29,704.9,720.75,704.0,710.45,708.8,1915130.0,13631.07
2017-06-28,701.15,709.0,698.0,702.9,704.15,1036526.0,7288.9
2017-06-27,712.5,713.0,694.6,705.0,707.2,1545553.0,10854.36
2017-06-23,721.05,723.0,702.6,713.0,711.5,2099658.0,14941.17
2017-06-22,724.5,731.15,716.9,718.9,721.2,1820027.0,13209.34
2017-06-21,725.0,733.0,715.05,719.5,719.7,1577869.0,11408.62
2017-06-20,710.0,729.4,701.5,725.0,724.5,3257632.0,23432.49
2017-06-19,718.95,718.95,702.6,710.0,707.05,1596187.0,11279.92
2017-06-16,704.1,714.8,696.05,711.85,712.65,2217196.0,15671.96
2017-06-15,691.0,708.4,691.0,703.3,703.35,2967640.0,20843.15
2017-06-14,675.0,698.0,663.3,696.0,694.3,5046778.0,34252.15
2017-06-13,692.1,701.5,675.2,676.2,677.6,4287510.0,29430.45
2017-06-12,714.0,723.95,692.0,692.55,694.8,3983103.0,28035.17
2017-06-09,739.3,741.4,727.0,730.7,731.0,1018346.0,7459.73
2017-06-08,742.1,745.7,733.55,741.6,742.55,1023249.0,7578.08
2017-06-07,735.1,744.5,732.15,740.5,739.8,1301882.0,9623.74
2017-06-06,749.65,749.65,722.65,731.1,732.55,1706863.0,12514.08
2017-06-05,744.5,758.5,738.6,748.0,747.35,1753696.0,13142.7
2017-06-02,738.5,749.95,733.75,744.5,744.25,1541676.0,11463.37
2017-06-01,737.0,742.95,725.15,735.5,734.05,1659952.0,12186.36
2017-05-31,733.0,741.85,724.0,737.5,735.7,1906320.0,13986.53
2017-05-30,701.95,734.5,695.0,730.0,728.45,2999658.0,21452.72
2017-05-29,735.0,745.55,707.1,711.25,712.85,2552814.0,18389.25
2017-05-26,732.0,754.5,727.3,737.95,739.65,3217563.0,23851.89
2017-05-25,692.6,743.5,692.6,731.0,734.7,6758728.0,48611.99
2017-05-24,671.0,683.0,651.0,672.0,670.45,4661432.0,31305.41
2017-05-23,704.95,708.15,657.6,662.0,665.95,4327948.0,29175.33
2017-05-22,704.9,717.95,690.0,701.0,704.6,4608233.0,32531.98
2017-05-19,734.0,747.8,676.0,698.0,698.45,7047209.0,50228.61
2017-05-18,774.0,774.0,720.0,725.0,727.85,3531028.0,26336.41
2017-05-17,791.0,795.75,775.75,779.0,780.05,2083066.0,16325.86
2017-05-16,814.7,814.7,790.65,792.2,793.65,1991707.0,15885.95
2017-05-15,807.0,817.55,798.8,810.0,812.8,5275037.0,42758.84
2017-05-12,778.8,801.0,778.7,799.9,797.6,4209106.0,33292.27
2017-05-11,763.25,803.85,763.25,777.5,777.4,5644371.0,44437.58
2017-05-10,763.05,769.0,756.0,761.0,760.65,1692427.0,12883.27
2017-05-09,776.95,778.0,753.25,763.0,761.0,1798551.0,13750.45
2017-05-08,792.0,795.0,769.0,770.85,774.55,1646191.0,12828.7
2017-05-05,784.0,803.95,777.0,787.5,790.1,3868470.0,30671.31
2017-05-04,785.0,789.9,775.0,778.35,781.5,1543554.0,12074.91
2017-05-03,788.0,793.9,777.2,783.05,783.5,2349292.0,18474.43
2017-05-02,802.0,810.0,768.1,783.0,787.3,9371221.0,74161.68
2017-04-28,795.25,822.8,780.2,803.85,803.65,8221885.0,66357.0
2017-04-27,792.0,802.8,784.0,791.65,792.15,2682365.0,21287.57
