Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,210.95,210.95,204.5,206.35,207.05,458441.0,948.43
2017-09-22,217.95,218.0,210.0,210.4,210.95,399986.0,862.03
2017-09-21,222.55,222.8,215.1,217.75,218.0,623009.0,1358.39
2017-09-20,219.9,225.7,218.0,221.9,222.55,540532.0,1197.61
2017-09-19,219.05,220.95,218.0,219.65,218.95,143326.0,313.97
2017-09-18,219.1,226.95,218.0,220.8,219.35,666821.0,1483.44
2017-09-15,218.75,223.95,213.0,214.75,217.4,1024751.0,2242.48
2017-09-14,222.2,223.75,217.45,218.1,218.65,229984.0,505.23
2017-09-13,217.0,225.9,216.3,221.25,220.8,599030.0,1329.77
2017-09-12,216.0,218.95,215.0,216.6,217.4,1006548.0,2184.99
2017-09-11,217.7,217.8,210.5,214.2,215.0,1423550.0,3063.01
2017-09-08,217.65,219.05,214.55,215.7,215.55,190860.0,412.74
2017-09-07,217.5,220.4,215.65,216.15,216.5,238719.0,518.7
2017-09-06,216.6,218.2,215.25,216.05,216.45,120807.0,262.11
2017-09-05,217.5,219.05,215.0,216.5,217.1,159061.0,345.44
2017-09-04,218.0,219.95,215.0,217.5,217.75,250469.0,544.81
2017-09-01,218.35,224.75,217.0,217.05,217.95,558933.0,1224.26
2017-08-31,220.8,220.8,217.05,219.0,219.15,138098.0,302.93
2017-08-30,217.5,220.2,215.8,219.8,219.75,181409.0,397.22
2017-08-29,220.3,222.75,214.5,216.5,216.2,250918.0,543.8
2017-08-28,214.25,220.75,212.2,219.5,219.2,499673.0,1077.26
2017-08-24,215.3,217.5,211.95,214.3,214.0,489691.0,1049.29
2017-08-23,217.35,218.35,212.65,215.2,214.5,979347.0,2104.12
2017-08-22,226.95,228.5,215.5,216.55,217.35,350544.0,772.19
2017-08-21,222.4,229.6,222.4,226.35,225.75,262005.0,596.12
2017-08-18,224.1,228.0,223.3,225.45,225.2,271323.0,611.51
2017-08-17,225.4,229.75,222.0,224.4,222.7,276508.0,624.48
2017-08-16,225.2,232.0,222.55,225.0,225.05,372092.0,846.06
2017-08-14,225.0,228.8,220.1,225.1,225.15,932006.0,2098.8
2017-08-11,213.0,226.9,211.1,226.0,224.1,568932.0,1257.35
2017-08-10,213.9,218.0,213.0,216.5,216.5,964439.0,2087.12
2017-08-09,215.05,218.85,214.95,215.5,216.0,883280.0,1916.62
2017-08-08,215.2,219.0,213.65,219.0,215.75,232100.0,499.31
2017-08-07,216.25,217.85,214.5,215.75,216.45,590797.0,1275.73
2017-08-04,213.2,217.6,211.1,216.25,215.7,887327.0,1896.34
2017-08-03,213.05,215.8,213.05,214.55,214.55,1191101.0,2555.16
2017-08-02,216.0,219.75,212.15,215.0,215.25,213696.0,459.28
2017-08-01,220.0,220.5,211.05,216.25,215.85,590777.0,1269.6
2017-07-31,210.8,219.0,209.4,218.5,218.7,1540046.0,3345.27
2017-07-28,207.0,211.0,204.85,208.95,208.9,1729184.0,3618.13
2017-07-27,207.0,211.4,203.2,209.0,209.2,1633451.0,3415.72
2017-07-26,204.25,208.0,203.15,206.5,205.2,832795.0,1711.32
2017-07-25,207.0,207.4,203.55,204.2,204.25,170642.0,350.24
2017-07-24,205.8,209.4,204.2,205.5,206.15,1780918.0,3657.34
2017-07-21,207.4,210.0,200.05,204.05,204.6,1848875.0,3842.53
2017-07-20,203.7,207.95,203.15,206.4,205.85,3096875.0,6359.63
2017-07-19,211.1,213.0,201.7,204.2,204.45,1007087.0,2082.9
2017-07-18,214.95,214.95,201.65,208.3,208.15,1253090.0,2594.4
2017-07-17,219.4,219.4,213.45,214.7,214.95,828628.0,1784.96
2017-07-14,219.25,222.8,215.2,217.0,216.1,481679.0,1055.12
2017-07-13,222.0,225.15,219.85,221.15,221.1,440955.0,979.08
2017-07-12,219.25,223.9,219.25,221.7,221.85,132909.0,294.86
2017-07-11,226.0,227.1,218.35,219.1,220.4,274382.0,612.59
2017-07-10,225.25,225.8,223.1,223.55,224.85,35950.0,80.84
2017-07-07,227.0,229.0,224.3,226.0,226.7,592317.0,1338.01
2017-07-06,227.9,231.45,223.95,226.95,226.2,445298.0,1007.4
2017-07-05,224.0,229.85,221.1,225.15,227.5,206280.0,464.23
2017-07-04,229.6,229.6,223.7,223.75,224.7,104786.0,236.75
2017-07-03,228.7,232.5,225.7,227.4,227.65,201358.0,462.2
2017-06-30,219.6,229.25,216.95,229.0,226.45,1453008.0,3230.18
2017-06-29,221.25,222.45,218.1,218.3,218.85,182785.0,402.67
2017-06-28,222.0,222.2,216.5,220.0,220.0,950954.0,2090.5
2017-06-27,221.0,222.5,213.5,220.5,220.35,278052.0,608.88
2017-06-23,219.95,223.65,214.55,220.0,219.3,2133246.0,4686.82
2017-06-22,219.8,222.2,219.55,219.9,219.95,999069.0,2211.87
2017-06-21,220.0,221.0,219.0,219.5,219.95,352519.0,775.15
2017-06-20,223.0,224.8,219.1,220.0,219.85,575584.0,1271.2
2017-06-19,222.45,225.95,219.75,220.0,220.15,321769.0,713.69
2017-06-16,220.45,226.15,219.05,219.7,219.45,666489.0,1485.21
2017-06-15,221.7,223.5,219.0,219.25,219.5,221499.0,487.97
2017-06-14,223.8,225.95,220.4,221.7,221.55,151657.0,336.77
2017-06-13,226.0,226.4,220.35,223.25,223.7,559246.0,1253.65
2017-06-12,232.1,234.1,222.85,223.95,224.2,266242.0,606.56
2017-06-09,236.95,238.1,229.65,235.0,235.05,608178.0,1425.28
2017-06-08,236.75,239.85,235.05,237.6,237.85,738987.0,1752.81
2017-06-07,238.45,238.45,234.5,235.2,235.35,834464.0,1967.62
2017-06-06,234.9,242.6,233.05,236.45,236.4,552663.0,1313.59
2017-06-05,243.0,244.85,234.55,235.2,235.45,887179.0,2126.57
2017-06-02,233.1,245.9,233.1,242.7,242.45,2955336.0,7129.92
2017-06-01,222.1,234.5,222.1,234.0,232.3,717963.0,1643.54
2017-05-31,220.7,227.8,220.7,224.0,223.0,1703480.0,3811.31
2017-05-30,223.0,226.75,218.2,219.0,219.75,1544118.0,3427.28
2017-05-29,226.4,229.5,221.0,227.0,223.25,1044783.0,2342.85
2017-05-26,219.65,226.5,219.2,225.1,224.8,1000837.0,2241.02
2017-05-25,220.0,226.85,217.0,218.0,218.3,892115.0,1965.52
2017-05-24,216.9,233.65,216.5,217.15,218.2,1071017.0,2407.8
2017-05-23,224.6,225.0,213.45,216.8,217.3,1561149.0,3390.98
2017-05-22,222.5,229.0,220.05,225.0,224.9,296996.0,667.9
2017-05-19,232.75,234.2,216.3,221.8,222.95,886337.0,1985.03
2017-05-18,239.35,241.95,229.5,230.1,230.6,503931.0,1181.42
2017-05-17,243.95,246.0,238.0,244.0,242.85,522449.0,1255.99
2017-05-16,240.1,245.8,236.55,243.65,244.15,2081392.0,5050.75
2017-05-15,236.4,242.8,235.45,242.5,240.45,241529.0,578.88
2017-05-12,242.35,243.8,235.0,236.0,236.0,2073710.0,5008.22
2017-05-11,237.65,242.0,233.65,242.0,240.35,550867.0,1309.3
2017-05-10,239.9,241.8,235.05,238.75,237.4,343426.0,818.76
2017-05-09,237.75,242.0,237.75,241.0,240.65,1499298.0,3614.72
2017-05-08,229.0,239.45,228.0,236.0,235.65,1008707.0,2359.87
2017-05-05,222.05,230.9,222.05,228.05,228.6,1035364.0,2370.86
2017-05-04,216.25,225.0,216.25,223.8,223.4,686210.0,1520.45
2017-05-03,222.0,222.7,214.0,216.15,215.8,747182.0,1610.61
2017-05-02,220.0,224.3,214.3,221.4,221.55,597529.0,1312.55
2017-04-28,223.0,224.45,218.05,219.9,219.95,222168.0,488.4
2017-04-27,220.45,225.9,219.0,225.0,224.65,891965.0,1996.79
2017-04-26,221.35,225.0,217.65,220.9,220.45,274864.0,609.08
2017-04-25,220.0,223.2,218.25,220.2,221.0,997673.0,2202.91
2017-04-24,219.5,219.85,212.0,217.0,216.1,1393247.0,2985.49
2017-04-21,217.9,223.9,216.25,219.3,218.4,4735641.0,10388.65
2017-04-20,212.35,218.0,210.6,215.6,216.3,1751271.0,3749.01
2017-04-19,211.5,213.35,209.85,210.25,211.4,133298.0,282.11
2017-04-18,212.1,215.1,209.5,209.55,210.55,238188.0,507.3
2017-04-17,216.0,216.0,211.05,211.8,211.45,922528.0,1977.0
2017-04-13,214.25,217.05,211.75,215.0,214.8,400728.0,857.92
2017-04-12,217.9,218.7,211.3,214.95,215.0,515731.0,1105.27
2017-04-11,211.05,221.5,210.05,217.5,217.85,762286.0,1655.66
2017-04-10,216.45,216.45,210.1,210.95,211.05,265727.0,564.09
2017-04-07,220.7,221.9,214.5,215.0,215.0,1522283.0,3274.89
2017-04-06,218.1,224.0,212.85,221.05,218.1,630932.0,1379.18
2017-04-05,227.0,227.0,218.0,219.9,220.05,721640.0,1593.37
2017-04-03,218.4,238.9,215.8,224.1,224.9,3342328.0,7652.37
2017-03-31,213.85,224.45,209.4,215.3,216.95,1469618.0,3165.18
2017-03-30,206.6,213.5,206.6,209.75,211.6,1343687.0,2834.67
2017-03-29,199.0,219.4,196.7,206.0,206.2,1533424.0,3146.53
2017-03-28,201.0,202.6,196.25,196.45,197.8,837381.0,1658.83
2017-03-27,200.0,203.45,198.65,201.0,201.05,1035694.0,2088.15
2017-03-24,195.0,199.1,195.0,198.0,198.4,488363.0,966.91
2017-03-23,196.8,206.55,190.05,193.75,194.3,3561176.0,6919.32
2017-03-22,195.0,196.55,193.25,195.85,195.8,216777.0,423.2
2017-03-21,195.2,199.5,193.05,196.8,196.0,2712357.0,5315.56
2017-03-20,197.8,198.0,190.85,195.0,195.4,425758.0,828.47
2017-03-17,198.0,199.35,190.25,195.7,195.1,7357751.0,14359.83
2017-03-16,189.1,200.0,189.1,197.0,197.65,1365975.0,2671.0
2017-03-15,190.2,193.0,187.75,188.15,188.85,505041.0,965.74
2017-03-14,195.0,195.0,188.65,192.6,191.05,3252561.0,6172.66
2017-03-10,189.6,194.25,188.0,190.0,189.25,1744975.0,3357.94
2017-03-09,187.9,191.45,186.75,189.55,189.95,985964.0,1874.88
2017-03-08,186.35,190.8,185.0,188.15,187.15,686218.0,1287.77
2017-03-07,185.05,188.5,185.05,186.1,186.95,1172576.0,2193.13
2017-03-06,187.5,188.5,183.45,186.3,186.05,1753584.0,3247.01
2017-03-03,189.8,191.9,186.9,187.5,187.9,506718.0,957.89
2017-03-02,189.75,193.7,187.6,188.85,189.1,615441.0,1175.15
2017-03-01,189.05,192.15,187.4,189.95,188.4,254559.0,480.0
2017-02-28,193.9,193.9,186.65,190.25,189.9,831951.0,1577.64
2017-02-27,201.65,203.4,190.25,192.5,192.8,775903.0,1541.94
2017-02-23,190.0,206.6,188.25,199.25,200.2,2269020.0,4549.01
2017-02-22,192.0,192.0,187.9,187.95,189.0,117921.0,222.83
2017-02-21,191.5,191.5,186.7,190.0,189.75,89602.0,169.46
2017-02-20,185.0,189.8,184.95,188.4,188.15,46569.0,87.75
2017-02-17,192.0,192.0,187.2,188.7,189.45,209405.0,396.5
2017-02-16,191.4,191.4,187.9,190.0,189.95,999690.0,1896.89
2017-02-15,186.4,191.75,184.5,189.9,189.8,285634.0,540.59
2017-02-14,190.7,190.7,182.6,185.0,185.2,632251.0,1166.62
2017-02-13,197.05,198.45,185.7,188.8,187.4,494630.0,929.93
2017-02-10,199.65,201.0,195.05,195.35,196.1,941035.0,1870.49
2017-02-09,193.0,201.1,192.05,199.2,197.85,1031037.0,2037.79
2017-02-08,193.0,194.75,189.3,193.5,193.0,537534.0,1033.37
2017-02-07,188.4,195.0,187.95,192.7,194.15,526504.0,1011.58
2017-02-06,193.2,193.2,184.3,188.2,188.4,714481.0,1340.27
2017-02-03,192.8,192.9,188.15,190.0,191.75,222964.0,425.35
2017-02-02,193.7,194.35,190.65,190.8,193.1,2658558.0,5130.77
2017-02-01,191.0,195.9,188.0,192.55,192.55,3386188.0,6522.35
2017-01-31,186.45,193.15,186.45,190.55,191.35,2395209.0,4538.69
2017-01-30,187.85,190.25,184.0,184.5,186.85,1356642.0,2550.29
2017-01-27,184.9,191.95,184.0,187.0,187.7,3340079.0,6289.92
