Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,57.4,57.55,55.65,56.65,56.6,5856054.0,3316.72
2017-09-22,59.1,59.1,57.35,57.5,57.55,4801620.0,2793.59
2017-09-21,60.1,60.25,58.45,59.3,59.2,4319997.0,2559.88
2017-09-20,60.25,60.75,59.0,59.95,60.0,8479018.0,5082.57
2017-09-19,60.85,61.05,59.8,59.95,59.9,8007852.0,4827.45
2017-09-18,60.9,61.35,60.55,60.7,60.75,5169635.0,3148.97
2017-09-15,60.7,60.9,59.5,60.35,60.45,13799458.0,8313.04
2017-09-14,58.9,61.0,58.9,61.0,60.8,11550942.0,6947.49
2017-09-13,57.4,59.3,57.1,58.9,58.9,12357298.0,7252.55
2017-09-12,56.5,57.75,56.0,57.3,57.4,6978648.0,3977.16
2017-09-11,56.5,56.95,56.0,56.2,56.25,2947587.0,1664.38
2017-09-08,57.7,57.7,56.1,56.2,56.2,5442148.0,3087.09
2017-09-07,58.2,58.2,57.05,57.2,57.25,4085978.0,2352.79
2017-09-06,57.3,58.25,56.8,57.7,57.75,6071309.0,3503.89
2017-09-05,57.7,57.75,56.85,57.55,57.45,3553930.0,2038.66
2017-09-04,57.7,57.95,55.9,57.1,57.15,6678256.0,3808.81
2017-09-01,55.3,57.7,55.0,57.1,57.25,15961486.0,9084.37
2017-08-31,55.7,55.7,54.65,54.9,54.85,5630734.0,3099.92
2017-08-30,55.45,55.85,55.35,55.6,55.55,2323385.0,1292.86
2017-08-29,55.7,55.8,55.0,55.2,55.2,2645547.0,1464.74
2017-08-28,55.6,56.3,55.3,56.0,56.0,3293490.0,1841.14
2017-08-24,55.7,55.7,55.05,55.15,55.2,2486392.0,1374.27
2017-08-23,54.95,55.85,54.6,55.65,55.7,3006800.0,1663.44
2017-08-22,54.95,55.15,54.1,54.75,54.45,3322138.0,1809.32
2017-08-21,56.15,56.35,54.5,54.55,54.65,2862685.0,1584.86
2017-08-18,56.45,56.45,55.4,55.8,55.85,3745521.0,2090.12
2017-08-17,56.1,56.7,55.75,56.45,56.4,5278792.0,2970.03
2017-08-16,54.9,55.9,54.4,55.85,55.75,9481309.0,5221.0
2017-08-14,53.75,55.1,53.65,54.5,54.45,5385171.0,2940.07
2017-08-11,53.5,54.35,52.55,53.5,53.25,10612157.0,5678.14
2017-08-10,56.0,56.25,53.45,54.45,54.1,8544157.0,4712.89
2017-08-09,56.6,56.7,55.8,56.0,56.3,7160758.0,4030.56
2017-08-08,58.05,58.05,56.5,56.6,56.65,4787966.0,2730.29
