Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,1112.0,1113.0,1022.0,1046.0,1045.6,2823911.0,29490.66
2017-09-22,1131.0,1136.0,1106.0,1118.0,1113.65,869257.0,9712.65
2017-09-21,1129.7,1154.4,1129.65,1131.0,1135.95,414441.0,4732.95
2017-09-20,1159.95,1159.95,1128.35,1134.0,1131.85,1131500.0,12908.03
2017-09-19,1167.8,1170.95,1135.0,1149.0,1148.8,637924.0,7329.99
2017-09-18,1200.0,1200.0,1162.0,1167.7,1165.9,755166.0,8857.97
2017-09-15,1175.1,1198.5,1165.9,1184.95,1176.35,849538.0,10015.12
2017-09-14,1200.0,1201.6,1178.0,1180.2,1183.75,496108.0,5879.46
2017-09-13,1203.0,1220.85,1191.05,1200.0,1198.5,537309.0,6486.47
2017-09-12,1226.0,1226.9,1196.0,1202.9,1203.05,264200.0,3198.56
2017-09-11,1223.0,1234.4,1212.3,1216.75,1215.95,237978.0,2907.59
2017-09-08,1240.0,1243.0,1215.0,1217.8,1222.0,237553.0,2916.54
2017-09-07,1226.15,1245.0,1222.1,1230.0,1226.25,277726.0,3429.85
2017-09-06,1257.0,1258.0,1215.9,1218.85,1222.8,320098.0,3939.68
2017-09-05,1261.0,1274.0,1247.5,1251.0,1256.3,230573.0,2913.45
2017-09-04,1253.0,1272.9,1241.25,1259.0,1265.35,594741.0,7479.54
2017-09-01,1230.0,1259.1,1223.9,1253.0,1255.2,419123.0,5212.13
2017-08-31,1210.7,1233.8,1202.95,1232.0,1228.3,817103.0,9988.17
2017-08-30,1175.0,1199.9,1175.0,1194.15,1195.85,307426.0,3662.88
2017-08-29,1188.0,1198.0,1161.55,1171.0,1172.05,413571.0,4890.78
2017-08-28,1181.5,1199.85,1167.6,1188.0,1185.95,740868.0,8773.14
2017-08-24,1210.0,1215.4,1183.8,1188.0,1186.6,691728.0,8259.31
2017-08-23,1234.4,1242.0,1209.0,1212.45,1216.45,514825.0,6313.83
2017-08-22,1276.75,1286.35,1226.05,1229.3,1228.7,474156.0,5896.46
2017-08-21,1269.45,1283.95,1259.95,1274.0,1270.8,470732.0,5976.55
2017-08-18,1281.0,1291.5,1247.5,1264.0,1269.5,1069343.0,13545.16
2017-08-17,1320.9,1345.7,1300.05,1310.0,1312.4,407645.0,5404.96
2017-08-16,1285.0,1346.7,1285.0,1311.0,1313.2,1162299.0,15447.41
2017-08-14,1250.0,1288.9,1245.05,1285.0,1284.95,228533.0,2913.89
2017-08-11,1249.0,1265.5,1215.6,1240.0,1242.35,573129.0,7093.51
2017-08-10,1302.8,1309.55,1257.85,1270.05,1273.7,723349.0,9296.92
2017-08-09,1293.0,1324.4,1285.05,1298.0,1303.35,707728.0,9217.62
2017-08-08,1290.0,1316.45,1279.0,1297.0,1295.5,657078.0,8538.14
2017-08-07,1283.0,1298.5,1262.35,1287.0,1287.65,332341.0,4275.31
2017-08-04,1260.0,1285.95,1248.3,1276.0,1276.0,325869.0,4139.73
2017-08-03,1283.0,1290.95,1246.8,1259.9,1272.1,328706.0,4203.05
2017-08-02,1289.9,1305.0,1275.15,1277.0,1281.4,385323.0,4972.32
2017-08-01,1320.0,1330.8,1266.7,1280.05,1290.25,2405404.0,31255.99
2017-07-31,1298.25,1317.2,1282.6,1290.0,1290.75,983921.0,12775.02
2017-07-28,1243.45,1303.65,1243.45,1282.0,1286.1,1138895.0,14588.87
2017-07-27,1234.0,1249.0,1219.5,1248.1,1243.5,934333.0,11566.59
2017-07-26,1247.0,1248.0,1231.1,1233.9,1234.65,418016.0,5169.81
2017-07-25,1227.0,1257.95,1227.0,1245.15,1246.45,578930.0,7205.52
2017-07-24,1243.0,1248.7,1227.15,1229.95,1233.35,289106.0,3572.95
2017-07-21,1230.0,1250.5,1225.85,1247.5,1243.35,328881.0,4060.24
2017-07-20,1260.0,1261.05,1231.0,1243.5,1243.85,513051.0,6359.8
2017-07-19,1287.0,1287.0,1247.4,1254.95,1256.65,345965.0,4355.88
2017-07-18,1275.0,1285.8,1271.9,1280.25,1278.45,412544.0,5277.41
2017-07-17,1284.0,1293.7,1271.55,1281.0,1283.5,323282.0,4154.4
2017-07-14,1280.0,1286.6,1265.55,1276.0,1280.15,330464.0,4226.27
2017-07-13,1263.0,1281.6,1247.0,1275.95,1275.95,790712.0,10032.76
2017-07-12,1230.0,1268.9,1228.05,1263.0,1262.8,853619.0,10678.81
2017-07-11,1242.55,1253.7,1218.0,1223.8,1223.8,392057.0,4845.93
2017-07-10,1268.0,1268.55,1232.85,1239.5,1239.2,77479.0,964.23
2017-07-07,1236.0,1255.0,1221.3,1250.0,1247.6,741739.0,9175.87
2017-07-06,1224.0,1242.9,1199.05,1228.3,1232.25,514288.0,6311.98
2017-07-05,1195.0,1223.0,1181.0,1222.0,1216.4,348603.0,4181.45
2017-07-04,1204.0,1215.85,1186.6,1192.0,1194.5,478197.0,5751.13
2017-07-03,1160.0,1204.0,1157.95,1188.0,1192.2,1000385.0,11872.17
2017-06-30,1240.0,1240.0,1160.05,1164.95,1166.55,2132055.0,25141.49
2017-06-29,1274.0,1274.0,1216.45,1240.0,1237.0,1507923.0,18709.56
2017-06-28,1218.0,1274.75,1207.55,1271.05,1264.9,537883.0,6704.91
2017-06-27,1245.0,1245.2,1208.95,1220.1,1218.25,208117.0,2545.84
2017-06-23,1249.75,1253.0,1206.6,1243.0,1241.75,334494.0,4121.3
2017-06-22,1261.0,1266.95,1244.05,1250.0,1248.4,423038.0,5316.42
2017-06-21,1241.0,1258.5,1230.0,1250.0,1250.65,626717.0,7840.2
2017-06-20,1211.85,1239.9,1207.0,1233.75,1232.3,581756.0,7139.26
2017-06-19,1209.7,1217.3,1195.1,1205.0,1201.6,207358.0,2500.25
2017-06-16,1199.0,1222.8,1188.0,1206.05,1212.05,876006.0,10588.98
2017-06-15,1160.05,1206.35,1155.15,1185.0,1186.15,1265544.0,15052.29
2017-06-14,1152.0,1156.75,1142.0,1154.7,1154.75,270155.0,3109.11
2017-06-13,1148.0,1157.0,1137.1,1145.7,1145.7,314684.0,3619.83
2017-06-12,1144.6,1168.0,1128.0,1137.95,1140.6,358639.0,4131.03
2017-06-09,1146.0,1158.0,1136.45,1147.2,1151.1,323501.0,3722.0
2017-06-08,1143.6,1152.65,1135.0,1144.95,1144.2,446579.0,5102.93
2017-06-07,1105.0,1137.0,1105.0,1135.1,1129.65,290880.0,3278.03
2017-06-06,1138.0,1158.0,1103.7,1108.0,1113.15,632030.0,7194.8
