Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,202.35,202.35,189.0,193.5,192.7,13918060.0,26885.72
2017-09-22,209.5,210.35,201.5,202.3,202.5,9692752.0,19916.68
2017-09-21,207.55,212.9,204.05,211.15,211.15,8048872.0,16844.5
2017-09-20,209.25,209.95,207.05,208.0,207.55,3264310.0,6807.53
2017-09-19,209.9,211.8,208.45,209.05,209.0,4614393.0,9688.68
2017-09-18,209.1,211.95,208.3,210.2,209.85,6602176.0,13871.51
2017-09-15,204.0,209.25,200.3,207.15,207.35,14733090.0,30397.26
2017-09-14,203.0,204.65,199.55,201.65,201.6,3633745.0,7338.92
2017-09-13,203.1,206.4,201.6,202.8,202.3,4429845.0,9040.22
2017-09-12,204.8,205.25,201.25,202.95,202.9,4791867.0,9720.31
2017-09-11,204.55,205.7,201.65,203.7,203.65,3836039.0,7814.61
2017-09-08,207.5,207.8,201.5,202.6,202.4,6350844.0,12934.07
2017-09-07,207.35,208.85,205.75,206.3,206.45,6157573.0,12764.16
2017-09-06,205.0,208.35,203.5,205.6,206.1,12250251.0,25300.5
2017-09-05,196.0,206.2,195.75,206.2,204.8,11261174.0,22690.46
2017-09-04,198.1,199.7,192.25,195.6,195.4,6255206.0,12240.69
2017-09-01,200.5,202.9,198.05,198.75,198.65,6994476.0,13990.22
2017-08-31,198.0,202.85,196.2,199.9,200.3,12794851.0,25579.63
2017-08-30,192.0,198.9,192.0,196.5,197.1,16613568.0,32616.04
2017-08-29,188.45,195.45,186.45,189.4,189.65,20263224.0,38709.84
2017-08-28,175.9,189.4,175.6,188.6,188.05,14135663.0,25982.62
2017-08-24,173.9,175.5,172.35,174.8,174.85,2899498.0,5046.17
2017-08-23,170.55,174.0,170.1,173.2,173.35,3368752.0,5802.0
2017-08-22,172.6,174.2,167.5,169.25,169.45,3806438.0,6472.09
2017-08-21,177.0,177.7,170.35,170.35,171.9,3005800.0,5240.26
2017-08-18,174.75,176.5,172.15,176.0,175.8,3489414.0,6082.09
2017-08-17,177.0,178.25,174.75,174.95,175.7,3368022.0,5941.1
2017-08-16,174.0,177.35,171.6,177.0,176.5,5370263.0,9405.74
2017-08-14,167.0,172.9,166.4,171.8,172.2,4510781.0,7649.92
2017-08-11,162.0,168.0,158.55,164.05,163.8,7107628.0,11615.78
2017-08-10,171.0,172.4,160.45,167.4,165.15,6599252.0,11087.54
2017-08-09,174.35,176.7,170.7,170.7,172.15,4403356.0,7678.2
2017-08-08,176.95,178.7,172.45,174.9,175.4,6120329.0,10784.08
2017-08-07,175.65,178.25,174.55,176.5,176.4,3878232.0,6853.08
2017-08-04,169.75,174.5,169.5,174.45,174.0,3474367.0,5997.74
2017-08-03,175.0,175.2,169.4,171.0,170.9,3990422.0,6862.06
2017-08-02,174.35,176.7,172.5,174.75,175.35,4722032.0,8267.32
2017-08-01,175.0,175.8,172.25,173.3,173.45,3314173.0,5752.22
2017-07-31,168.4,175.8,166.85,174.95,175.0,11666200.0,20133.13
2017-07-28,160.95,171.3,159.9,169.6,170.4,14165613.0,23797.6
2017-07-27,167.0,167.45,160.55,161.5,161.2,15970055.0,26080.82
2017-07-26,155.5,165.0,153.35,164.8,161.15,13060903.0,20888.61
2017-07-25,154.5,155.9,153.35,155.4,155.4,3858633.0,5982.22
2017-07-24,153.75,154.65,152.85,154.0,154.0,1861211.0,2864.61
2017-07-21,153.9,153.9,150.35,153.0,152.9,2519835.0,3834.41
2017-07-20,152.1,154.95,151.3,152.95,152.8,6726335.0,10334.27
2017-07-19,148.4,151.3,148.4,150.4,150.3,2686754.0,4030.09
2017-07-18,150.1,150.85,141.1,147.55,147.95,5294359.0,7876.28
2017-07-17,150.3,150.75,147.8,149.0,149.05,3302023.0,4918.25
2017-07-14,151.4,151.95,147.95,149.7,149.6,2290401.0,3425.64
2017-07-13,150.0,153.7,149.1,151.25,151.4,4738129.0,7206.41
2017-07-12,148.25,150.4,147.15,149.1,149.4,2099586.0,3124.78
2017-07-11,149.2,150.55,146.7,147.6,148.1,2120731.0,3154.56
2017-07-10,149.7,151.0,148.35,149.45,149.5,446859.0,669.21
2017-07-07,148.95,149.65,147.1,148.25,148.2,1879585.0,2789.61
2017-07-06,149.1,151.5,148.6,149.0,149.3,3808467.0,5721.24
2017-07-05,149.1,150.0,148.0,149.0,149.1,4201713.0,6262.57
2017-07-04,144.5,149.4,143.4,148.05,148.45,4660061.0,6849.59
2017-07-03,144.0,145.45,143.4,143.9,144.3,1799305.0,2596.59
2017-06-30,142.9,146.05,140.15,144.6,144.3,4375409.0,6268.76
2017-06-29,142.55,144.8,141.75,143.0,143.25,5964611.0,8543.25
2017-06-28,136.1,141.85,134.6,141.2,141.15,4897216.0,6827.91
2017-06-27,140.4,140.9,135.0,136.6,136.55,2697836.0,3697.9
2017-06-23,145.0,145.35,138.35,140.3,140.4,4935150.0,6963.24
2017-06-22,146.45,150.15,144.0,144.4,145.25,4815799.0,7105.97
2017-06-21,146.5,147.9,145.75,146.15,146.35,2745318.0,4027.56
2017-06-20,147.4,149.3,145.9,147.05,147.1,3700454.0,5458.53
2017-06-19,148.0,148.7,145.35,147.6,147.4,4345985.0,6403.3
2017-06-16,142.6,147.5,142.5,147.4,146.85,10809330.0,15803.67
2017-06-15,138.05,143.3,138.0,141.65,141.2,9291358.0,13138.18
2017-06-14,132.8,138.0,131.3,137.55,137.25,4657035.0,6313.54
2017-06-13,131.45,134.5,131.2,132.5,132.8,2647552.0,3525.55
2017-06-12,132.8,133.5,130.35,130.75,131.2,2178790.0,2874.44
2017-06-09,131.0,134.35,130.15,133.9,133.8,3221042.0,4278.6
2017-06-08,132.45,132.9,130.5,131.0,131.0,2286960.0,3006.99
2017-06-07,130.55,132.9,130.1,132.6,132.25,2668221.0,3508.03
2017-06-06,132.9,134.2,129.3,130.3,130.4,4694445.0,6190.03
2017-06-05,129.25,132.65,128.3,131.9,132.15,4086184.0,5356.1
2017-06-02,127.9,129.3,126.4,128.6,128.3,2896614.0,3703.96
2017-06-01,128.1,128.85,126.6,127.25,127.4,2172449.0,2770.53
2017-05-31,127.25,129.6,126.55,128.8,128.45,2236298.0,2867.12
2017-05-30,127.1,128.2,125.55,126.85,126.6,2490472.0,3154.24
2017-05-29,131.45,131.85,125.5,127.1,127.3,2611406.0,3350.41
2017-05-26,128.95,131.65,128.15,130.9,130.85,2544985.0,3304.16
2017-05-25,125.75,130.8,124.35,128.5,128.7,3060700.0,3909.86
2017-05-24,127.7,128.65,123.25,124.8,124.6,3449291.0,4338.15
2017-05-23,124.2,129.45,119.35,126.75,126.7,7408213.0,9326.33
2017-05-22,128.5,128.5,123.0,124.4,123.75,2191466.0,2754.08
2017-05-19,129.9,131.75,126.0,126.5,126.8,2562742.0,3290.51
2017-05-18,131.8,132.45,128.0,128.5,129.0,2495524.0,3254.53
2017-05-17,134.7,134.7,132.2,132.5,132.8,1194422.0,1593.23
2017-05-16,133.9,135.0,133.5,134.7,134.55,1729885.0,2325.48
2017-05-15,131.4,134.2,131.05,133.55,133.45,2194489.0,2918.49
2017-05-12,133.45,133.5,130.25,131.3,131.25,2060670.0,2713.47
2017-05-11,135.0,135.35,133.0,133.0,133.5,1645593.0,2207.06
2017-05-10,135.0,136.6,134.2,134.25,134.6,2304765.0,3117.34
2017-05-09,136.25,136.5,133.9,134.35,134.3,2045478.0,2757.64
2017-05-08,134.7,137.0,133.45,135.55,135.95,2945334.0,3990.49
2017-05-05,138.05,140.4,132.45,133.2,133.45,11930678.0,16322.0
2017-05-04,134.3,136.9,133.8,135.95,135.85,5167972.0,7019.95
2017-05-03,134.75,135.8,132.1,133.75,134.15,4072391.0,5445.9
2017-05-02,128.4,134.5,127.6,134.3,134.05,7909208.0,10444.21
2017-04-28,127.55,128.25,126.5,127.9,127.6,1604152.0,2044.09
2017-04-27,126.95,129.15,126.5,127.3,127.55,2787268.0,3566.36
2017-04-26,128.95,129.35,125.5,127.4,127.45,2998582.0,3826.25
2017-04-25,129.25,129.7,128.1,128.25,128.6,2536876.0,3268.68
2017-04-24,127.95,129.4,127.1,128.0,128.25,3439490.0,4413.54
2017-04-21,127.7,128.9,125.8,126.4,126.45,2797195.0,3563.61
2017-04-20,126.0,128.2,125.95,126.7,127.2,3017663.0,3838.96
2017-04-19,123.85,126.65,123.1,125.8,125.65,3938980.0,4931.46
2017-04-18,123.85,129.4,122.65,123.55,123.85,10446975.0,13113.86
2017-04-17,121.25,123.65,120.75,123.05,123.15,1713947.0,2097.43
2017-04-13,124.0,124.0,121.0,121.25,121.55,1908830.0,2334.07
2017-04-12,126.0,126.25,122.65,124.45,124.15,3301264.0,4108.92
2017-04-11,122.15,126.0,121.85,126.0,125.1,4306819.0,5341.24
2017-04-10,121.0,122.7,119.15,122.2,122.25,2327505.0,2816.57
2017-04-07,122.8,123.45,120.2,120.3,120.8,3097966.0,3792.17
2017-04-06,123.9,125.0,122.35,123.0,123.2,4473555.0,5518.94
2017-04-05,123.5,125.1,123.0,124.0,123.9,2524567.0,3130.44
2017-04-03,122.65,124.6,122.65,123.25,123.5,2446127.0,3024.5
2017-03-31,123.4,125.5,121.45,123.9,123.65,5699040.0,7020.02
2017-03-30,123.5,124.2,122.35,123.1,123.4,4860319.0,5991.98
2017-03-29,122.0,123.4,121.4,123.0,122.95,2691614.0,3299.89
2017-03-28,121.0,122.7,114.2,121.55,121.85,3618738.0,4394.99
2017-03-27,120.5,121.5,119.3,120.6,120.25,2399806.0,2883.52
2017-03-24,121.55,122.55,120.7,120.95,120.95,2372587.0,2881.74
2017-03-23,122.0,122.75,121.0,121.65,121.55,3450821.0,4198.67
2017-03-22,121.35,122.9,121.05,121.7,121.9,2041610.0,2492.89
2017-03-21,122.5,123.95,122.25,122.7,122.85,2528813.0,3110.81
2017-03-20,121.95,123.4,121.0,122.5,122.55,7991254.0,9732.01
2017-03-17,122.5,124.0,120.0,121.7,121.55,3838760.0,4676.54
2017-03-16,121.75,123.0,121.5,122.3,122.2,3594823.0,4398.67
2017-03-15,121.55,122.85,120.5,120.7,121.05,4093401.0,4981.73
2017-03-14,119.75,122.5,119.0,121.25,121.55,7586414.0,9186.35
2017-03-10,118.0,119.85,116.7,116.9,117.35,2862140.0,3385.36
2017-03-09,119.55,120.15,118.5,118.5,118.95,3280570.0,3919.95
2017-03-08,120.3,121.4,118.25,119.85,120.2,9938901.0,11941.1
2017-03-07,116.0,120.2,114.85,119.9,119.65,6623257.0,7821.46
2017-03-06,115.8,116.45,114.65,115.95,115.8,1729536.0,1999.08
2017-03-03,113.15,115.8,112.55,115.4,115.3,2287607.0,2612.67
2017-03-02,116.85,118.25,112.3,113.25,113.15,4359154.0,5037.19
2017-03-01,117.2,117.8,115.7,115.7,116.1,2767935.0,3226.31
2017-02-28,116.5,117.4,115.9,116.4,116.45,2206460.0,2571.62
2017-02-27,116.1,118.45,115.45,115.6,115.9,5608668.0,6542.18
2017-02-23,117.05,118.4,115.6,115.7,116.35,4864240.0,5682.5
2017-02-22,117.45,119.6,116.0,117.05,117.05,6440885.0,7576.05
2017-02-21,118.2,118.9,116.25,117.5,117.5,3237356.0,3799.14
2017-02-20,117.0,118.7,116.65,118.25,118.2,3880912.0,4573.25
2017-02-17,115.2,117.8,114.45,116.9,117.45,9594764.0,11160.27
2017-02-16,110.3,115.0,108.7,114.2,114.4,7203683.0,8115.01
