Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,771.7,780.0,771.7,777.0,778.15,51445.0,399.16
2017-09-22,781.1,783.0,771.0,776.0,776.2,20856.0,162.14
2017-09-21,775.05,784.0,775.0,782.0,780.2,8080.0,63.02
2017-09-20,788.0,788.0,775.05,780.0,779.75,8454.0,66.01
2017-09-19,782.0,799.95,782.0,789.95,788.4,23126.0,182.93
2017-09-18,778.0,791.0,770.05,781.0,782.5,13884.0,108.51
2017-09-15,783.2,784.95,776.0,776.0,779.85,18722.0,146.18
2017-09-14,778.0,785.0,778.0,784.3,783.2,9444.0,73.9
2017-09-13,776.0,785.0,776.0,784.95,781.85,10842.0,84.72
2017-09-12,782.85,794.7,780.0,781.0,780.15,9823.0,76.93
2017-09-11,805.0,805.0,771.05,782.0,784.15,43073.0,338.37
2017-09-08,780.0,804.95,769.6,803.0,794.05,16105.0,126.18
2017-09-07,788.15,793.1,780.0,780.0,780.4,18318.0,144.46
2017-09-06,788.0,795.0,783.9,790.95,790.4,42251.0,332.75
2017-09-05,789.8,789.95,780.8,787.0,788.65,27145.0,213.19
2017-09-04,774.8,791.0,774.8,784.95,784.85,29189.0,228.68
2017-09-01,773.8,779.0,768.0,773.5,776.35,11772.0,91.09
2017-08-31,765.05,773.9,765.05,767.0,768.95,9781.0,75.18
2017-08-30,760.05,771.0,760.05,766.1,766.65,7712.0,59.09
2017-08-29,754.0,769.95,752.0,760.2,763.7,11353.0,86.31
2017-08-28,755.05,765.6,752.0,758.0,757.25,11913.0,90.56
2017-08-24,750.05,762.0,748.9,755.05,757.65,15500.0,117.06
2017-08-23,741.25,756.5,740.25,750.05,752.95,20342.0,152.79
2017-08-22,745.0,752.7,734.0,740.05,745.0,13098.0,97.16
2017-08-21,740.55,749.9,740.0,745.0,745.2,26169.0,194.78
2017-08-18,732.0,745.0,727.0,740.0,740.5,19586.0,144.59
2017-08-17,733.0,737.9,730.0,732.0,733.15,9221.0,67.57
2017-08-16,734.95,744.65,730.1,731.0,732.75,11014.0,81.07
2017-08-14,731.7,739.9,725.05,734.45,732.05,21762.0,159.09
2017-08-11,739.85,740.3,729.0,732.25,731.65,46470.0,341.13
2017-08-10,736.0,746.4,733.05,740.05,740.35,19359.0,143.38
2017-08-09,740.0,741.2,734.05,734.05,735.25,10156.0,74.92
2017-08-08,755.05,762.05,740.0,740.2,742.95,14561.0,108.83
2017-08-07,754.9,763.0,750.0,758.1,758.55,8591.0,64.95
2017-08-04,744.95,759.95,740.1,750.3,750.85,7050.0,52.91
2017-08-03,748.0,750.0,740.0,740.0,742.35,7527.0,56.2
2017-08-02,758.0,759.3,745.0,745.0,747.6,9195.0,69.22
2017-08-01,764.95,764.95,755.0,755.05,758.85,16505.0,125.29
2017-07-31,765.0,769.9,756.0,760.05,761.15,8898.0,67.65
2017-07-28,755.0,769.0,755.0,767.4,766.0,9204.0,70.25
2017-07-27,761.6,767.0,755.05,756.0,759.05,12259.0,93.17
2017-07-26,779.0,779.0,760.05,760.05,761.6,17373.0,133.42
2017-07-25,771.0,781.2,770.85,775.05,776.75,44474.0,344.89
2017-07-24,770.05,778.7,765.0,778.7,772.9,18887.0,145.62
2017-07-21,759.0,777.7,755.0,770.0,770.45,16087.0,122.7
2017-07-20,759.7,762.7,756.0,760.35,760.25,8862.0,67.28
2017-07-19,764.4,764.95,755.0,763.0,759.7,9110.0,69.34
2017-07-18,765.05,769.9,755.0,756.25,760.7,15976.0,121.79
2017-07-17,755.1,771.0,755.1,765.05,766.15,11976.0,91.73
2017-07-14,766.15,769.95,755.05,759.95,761.6,9608.0,73.27
2017-07-13,760.5,771.9,760.5,769.0,768.25,11751.0,90.27
2017-07-12,775.0,775.0,759.0,760.05,760.4,26168.0,199.36
2017-07-11,761.6,776.9,761.05,768.1,767.0,16487.0,126.93
2017-07-10,760.1,770.0,760.0,761.0,760.75,5581.0,42.51
2017-07-07,754.85,774.75,752.0,769.0,768.4,23749.0,182.46
2017-07-06,755.0,762.0,752.05,755.3,756.45,101152.0,768.6
2017-07-05,723.0,767.0,723.0,760.05,761.7,185847.0,1377.83
2017-07-04,724.75,730.0,719.05,728.55,728.2,112260.0,818.02
2017-07-03,718.0,726.9,716.05,720.0,719.85,24038.0,173.75
2017-06-30,724.9,724.9,712.25,717.0,717.05,13714.0,98.33
2017-06-29,734.0,734.0,717.0,720.0,718.65,11635.0,83.84
2017-06-28,721.1,724.9,715.15,721.0,718.75,17534.0,126.29
2017-06-27,735.0,735.0,720.0,720.7,721.65,15895.0,115.68
2017-06-23,731.6,734.95,724.0,729.95,726.1,12931.0,94.2
2017-06-22,734.8,734.95,729.7,731.5,731.6,12988.0,95.12
2017-06-21,732.7,735.0,730.05,732.0,732.65,7990.0,58.53
2017-06-20,732.55,734.9,730.05,733.0,732.65,13430.0,98.42
2017-06-19,735.0,736.0,730.0,732.0,732.45,18469.0,135.3
2017-06-16,729.45,735.5,729.45,730.0,730.8,18163.0,133.05
2017-06-15,730.0,735.0,729.25,732.0,731.75,15689.0,114.7
2017-06-14,731.95,737.0,729.05,729.2,730.4,10077.0,73.71
2017-06-13,731.0,737.0,729.0,730.05,730.1,31240.0,228.42
2017-06-12,738.95,738.95,730.0,731.0,731.9,41054.0,301.47
2017-06-09,739.95,739.95,730.15,732.5,732.8,9661.0,70.82
2017-06-08,730.0,739.95,730.0,734.2,736.05,14658.0,107.79
2017-06-07,735.1,739.95,733.05,735.0,735.35,7746.0,56.99
2017-06-06,739.95,739.95,734.0,734.0,735.95,12419.0,91.41
2017-06-05,777.0,777.0,735.05,735.85,739.15,12756.0,94.79
2017-06-02,735.25,739.95,733.55,735.1,736.7,29412.0,216.71
2017-06-01,735.0,739.95,733.05,735.0,737.0,29318.0,216.02
2017-05-31,739.9,739.9,732.0,735.0,736.1,11583.0,85.26
2017-05-30,736.0,745.0,734.5,735.05,736.1,8466.0,62.45
2017-05-29,746.0,747.85,731.05,733.05,734.35,11083.0,81.74
2017-05-26,744.7,754.95,737.55,746.0,748.5,37289.0,278.01
2017-05-25,737.0,740.95,732.05,736.15,737.55,10622.0,78.35
2017-05-24,739.95,740.95,732.2,732.35,736.7,9931.0,73.18
2017-05-23,754.85,754.85,732.45,735.0,735.3,17089.0,126.27
2017-05-22,755.5,759.05,745.05,748.55,747.85,12414.0,93.16
2017-05-19,760.0,764.95,755.05,755.1,757.05,43975.0,334.97
2017-05-18,764.6,764.85,760.0,764.0,762.2,8635.0,65.82
2017-05-17,768.75,768.75,760.0,765.25,763.95,66684.0,509.94
2017-05-16,763.05,771.0,763.05,768.35,768.75,7209.0,55.34
2017-05-15,769.95,772.0,760.05,765.0,766.55,11865.0,90.93
2017-05-12,756.2,766.5,755.0,764.95,759.8,10695.0,81.36
2017-05-11,750.9,764.95,750.0,764.95,759.8,46322.0,349.12
2017-05-10,761.05,762.0,750.4,752.0,754.65,300853.0,2277.46
2017-05-09,766.75,770.9,755.0,758.8,759.5,12584.0,95.85
2017-05-08,773.0,776.95,763.0,765.05,771.55,11253.0,86.63
2017-05-05,775.55,789.95,769.0,773.0,771.35,46935.0,364.97
2017-05-04,775.15,795.7,770.0,779.0,780.55,141062.0,1106.94
2017-05-03,780.0,787.0,775.1,784.0,784.2,42473.0,332.03
2017-05-02,769.0,776.1,764.7,771.5,771.75,16768.0,129.13
2017-04-28,760.0,777.85,755.0,765.95,768.25,25344.0,193.63
2017-04-27,747.0,758.8,740.05,756.0,756.4,15859.0,119.41
2017-04-26,742.95,747.0,738.05,746.45,745.05,17303.0,128.63
2017-04-25,738.0,739.95,734.6,739.4,737.85,107996.0,796.66
2017-04-24,739.0,742.75,732.3,733.0,736.45,19622.0,145.17
2017-04-21,751.0,751.0,729.0,734.95,735.9,63482.0,465.67
2017-04-20,749.95,751.5,739.1,740.0,740.7,44865.0,335.24
2017-04-19,759.95,759.95,745.0,747.0,747.25,22684.0,170.43
2017-04-18,769.95,769.95,750.2,758.5,757.75,24342.0,185.44
2017-04-17,779.4,782.2,761.65,765.95,765.75,15590.0,119.76
2017-04-13,778.15,790.0,772.0,777.0,778.15,17160.0,134.19
2017-04-12,790.7,791.15,773.0,776.4,775.85,18092.0,141.32
2017-04-11,794.95,794.95,785.05,785.55,789.65,22412.0,176.84
2017-04-10,794.4,795.45,790.05,792.0,791.25,22722.0,180.17
2017-04-07,790.05,797.95,790.05,795.0,794.5,24474.0,194.53
2017-04-06,795.0,802.4,790.05,795.0,793.75,49628.0,395.08
2017-04-05,785.05,804.0,782.0,792.0,792.55,24832.0,197.35
2017-04-03,779.95,787.95,779.1,785.0,785.3,65052.0,509.6
2017-03-31,762.5,787.0,762.0,781.0,778.6,42947.0,334.63
2017-03-30,761.0,768.65,761.0,765.0,767.3,15799.0,121.08
2017-03-29,771.45,774.45,760.05,761.5,762.15,370203.0,2844.99
2017-03-28,777.15,777.15,766.55,770.0,771.5,15761.0,121.3
2017-03-27,780.0,780.5,770.0,775.4,773.2,16456.0,127.44
2017-03-24,781.1,784.25,775.35,781.0,779.35,109761.0,858.94
2017-03-23,780.0,786.0,778.9,781.0,782.3,20006.0,156.75
2017-03-22,775.05,784.9,775.05,784.0,781.75,13407.0,104.59
2017-03-21,779.05,782.9,775.05,775.05,777.9,20678.0,161.15
2017-03-20,765.05,785.0,765.05,779.1,779.95,32183.0,250.52
2017-03-17,788.5,788.5,770.1,775.0,775.15,14575.0,113.39
2017-03-16,782.8,788.6,780.05,784.9,785.4,20848.0,163.69
2017-03-15,768.55,786.5,767.0,783.0,784.6,38460.0,299.82
2017-03-14,769.95,774.95,765.05,772.8,769.8,27368.0,210.72
2017-03-10,768.15,773.05,765.05,767.4,768.1,6751.0,51.85
2017-03-09,762.0,769.95,761.65,765.15,766.7,10338.0,79.18
2017-03-08,779.0,782.9,759.0,760.0,761.65,198453.0,1539.48
2017-03-07,768.2,777.0,768.2,774.0,774.5,45808.0,354.8
2017-03-06,774.95,779.95,766.0,767.0,771.2,49539.0,383.13
2017-03-03,775.0,775.0,761.95,766.0,764.8,106959.0,818.13
2017-03-02,774.5,777.9,770.05,773.45,773.7,11727.0,90.62
2017-03-01,773.75,779.8,770.5,775.0,774.25,13693.0,105.98
2017-02-28,776.0,779.9,770.2,773.1,773.5,10098.0,78.24
2017-02-27,779.85,789.55,773.1,775.9,775.4,65949.0,513.26
2017-02-23,784.95,784.95,775.0,777.5,777.6,26613.0,207.41
2017-02-22,787.95,789.0,777.0,779.7,779.45,13700.0,106.93
2017-02-21,787.9,788.0,775.05,779.8,779.05,14003.0,109.57
2017-02-20,787.0,792.5,781.0,781.15,783.65,12479.0,97.94
2017-02-17,798.0,798.0,786.0,787.95,787.15,7586.0,59.82
2017-02-16,781.5,800.0,781.5,788.55,789.7,20258.0,160.23
2017-02-15,793.0,793.95,780.05,784.0,785.2,24886.0,196.23
2017-02-14,794.95,798.9,790.0,790.0,792.25,11724.0,93.02
2017-02-13,806.6,806.6,790.0,790.05,791.45,8410.0,66.77
2017-02-10,804.95,804.95,790.0,798.2,799.25,11890.0,94.87
2017-02-09,804.95,804.95,792.0,797.9,799.3,13599.0,108.64
2017-02-08,799.05,800.0,795.7,797.05,797.45,15466.0,123.42
2017-02-07,816.05,818.3,795.1,798.9,798.85,24269.0,195.28
2017-02-06,817.0,824.9,814.3,815.0,818.15,21670.0,177.43
2017-02-03,836.0,839.8,814.3,814.3,821.5,29530.0,243.03
2017-02-02,837.0,845.85,828.1,831.0,840.55,31098.0,260.75
2017-02-01,830.05,845.0,815.05,835.05,837.05,40962.0,341.13
2017-01-31,850.1,854.75,825.0,825.0,837.7,32861.0,275.19
2017-01-30,834.95,872.5,828.0,862.0,845.85,40526.0,342.27
2017-01-27,842.5,844.95,827.5,832.0,834.5,18886.0,157.84
2017-01-25,826.0,849.95,826.0,842.5,847.4,41946.0,352.68
2017-01-24,838.0,840.05,825.05,836.0,836.4,21592.0,180.07
2017-01-23,813.0,844.95,813.0,839.0,838.8,29138.0,241.0
2017-01-20,830.05,849.0,825.5,842.6,839.35,19083.0,159.29
2017-01-19,827.5,839.95,815.0,833.0,827.75,14302.0,118.06
2017-01-18,814.9,834.9,806.55,820.35,824.1,11203.0,91.77
2017-01-17,817.0,819.9,806.0,806.3,814.8,9263.0,75.23
2017-01-16,805.0,819.9,803.0,816.0,816.8,9245.0,75.05
2017-01-13,803.0,815.0,803.0,815.0,811.1,10413.0,84.25
2017-01-12,809.1,811.85,802.0,806.0,805.5,6951.0,56.08
2017-01-11,804.5,812.0,800.05,806.0,804.45,8370.0,67.3
2017-01-10,814.25,819.4,800.35,803.8,804.5,15368.0,123.99
2017-01-09,808.5,819.95,802.0,819.95,818.05,10809.0,88.04
2017-01-06,804.5,812.95,801.05,803.1,804.0,46621.0,376.04
2017-01-05,812.5,815.0,805.0,808.0,809.85,20554.0,166.45
2017-01-04,811.3,813.5,805.05,810.0,807.75,13327.0,107.97
2017-01-03,792.2,812.0,792.2,807.2,810.15,11705.0,94.54
2017-01-02,799.0,809.8,780.1,802.95,805.3,14651.0,117.28
2016-12-30,787.0,800.0,779.95,784.0,787.9,13003.0,102.24
2016-12-29,788.0,792.9,779.0,784.0,784.65,14413.0,113.15
2016-12-28,785.0,788.3,777.9,777.9,782.25,12119.0,94.8
2016-12-27,785.0,790.0,773.0,789.9,782.15,23154.0,180.33
2016-12-26,790.0,795.55,774.2,777.0,779.75,37566.0,293.07
2016-12-23,792.2,796.0,782.3,795.0,794.15,16413.0,129.8
2016-12-22,799.7,799.95,782.0,787.6,788.75,13786.0,109.08
2016-12-21,792.25,800.0,784.0,784.0,786.55,10013.0,78.92
2016-12-20,805.55,805.55,785.35,787.15,790.15,11880.0,93.96
2016-12-19,800.0,814.95,785.35,792.35,794.75,15898.0,126.44
2016-12-16,796.1,804.95,793.95,800.0,800.4,17562.0,140.48
2016-12-15,797.9,804.0,788.05,795.1,796.4,12368.0,98.48
2016-12-14,798.0,802.0,781.55,788.05,790.2,22506.0,177.81
2016-12-13,839.05,839.85,781.0,789.0,798.05,280525.0,2302.91
2016-12-12,850.0,850.0,835.0,835.0,836.35,15969.0,134.05
2016-12-09,842.0,851.2,840.05,847.0,849.7,47462.0,401.48
2016-12-08,850.0,852.15,840.05,841.1,844.6,21888.0,184.92
2016-12-07,839.1,851.45,839.1,847.15,847.95,12658.0,107.02
2016-12-06,847.5,852.5,840.05,852.0,845.8,113804.0,961.74
2016-12-05,856.0,856.0,843.95,848.0,849.55,17350.0,147.33
2016-12-02,859.5,859.5,841.0,845.0,845.15,37092.0,313.83
2016-12-01,860.0,861.95,844.0,859.0,859.15,125086.0,1066.4
2016-11-30,853.3,867.0,845.05,856.0,860.6,27306.0,234.48
2016-11-29,854.95,857.5,848.15,854.5,854.0,98194.0,838.31
2016-11-28,853.0,854.9,842.45,848.0,847.85,22496.0,191.32
2016-11-25,820.0,855.0,820.0,849.0,850.4,55400.0,470.01
2016-11-24,809.4,833.0,799.8,831.0,830.1,34354.0,281.53
2016-11-23,819.2,820.95,805.0,807.0,811.7,63635.0,517.51
2016-11-22,806.0,816.5,780.05,813.4,813.0,20675.0,166.78
2016-11-21,810.0,813.0,770.0,794.0,791.8,24715.0,196.09
2016-11-18,755.2,824.45,755.2,815.0,815.8,98898.0,792.43
2016-11-17,764.9,768.25,754.5,762.0,755.25,34335.0,259.65
2016-11-16,760.0,766.95,750.0,755.0,755.2,89026.0,672.29
2016-11-15,784.0,784.0,751.0,757.0,753.0,41828.0,316.29
2016-11-11,792.0,794.95,771.0,771.0,784.5,102981.0,807.42
2016-11-10,787.5,807.9,786.0,790.3,789.8,33017.0,262.53
2016-11-09,760.0,785.0,751.0,783.0,784.35,88918.0,680.75
2016-11-08,770.0,785.0,770.0,784.0,784.05,34352.0,267.99
2016-11-07,765.0,780.65,763.05,770.0,772.55,56201.0,434.59
2016-11-04,789.0,794.85,761.55,761.55,766.4,71958.0,557.39
2016-11-03,808.2,812.05,782.5,788.4,789.2,219258.0,1739.38
2016-11-02,819.5,819.95,801.0,805.1,808.15,125959.0,1021.52
2016-11-01,830.05,834.65,816.0,817.0,821.2,69602.0,575.28
2016-10-30,827.5,836.0,827.5,834.95,834.3,3902.0,32.5
2016-10-28,834.95,835.1,823.0,825.0,828.1,51421.0,426.53
2016-10-27,840.05,850.0,832.05,832.05,838.8,31682.0,265.49
2016-10-26,847.5,847.5,840.05,840.15,843.6,36760.0,310.66
2016-10-25,850.05,852.0,845.0,846.0,846.35,111286.0,945.01
2016-10-24,854.85,854.85,846.9,850.0,850.65,49610.0,422.41
2016-10-21,861.95,861.95,850.0,850.05,852.65,113473.0,969.96
2016-10-20,857.5,862.0,852.5,859.2,860.25,52574.0,451.47
2016-10-19,855.7,864.95,853.05,855.0,855.2,77476.0,665.2
2016-10-18,853.9,855.0,850.05,852.0,853.45,21776.0,185.58
2016-10-17,849.95,855.3,842.55,852.0,853.0,27319.0,232.27
2016-10-14,846.75,854.8,840.05,851.0,851.65,39648.0,336.42
2016-10-13,848.95,849.3,841.7,847.0,846.3,44221.0,373.88
2016-10-10,834.2,854.9,830.2,848.0,849.3,77295.0,653.92
2016-10-07,842.5,846.6,830.1,831.0,832.6,38794.0,324.52
2016-10-06,827.5,844.0,827.5,839.25,840.6,88139.0,739.6
2016-10-05,833.0,836.7,823.75,825.0,826.85,56541.0,469.52
2016-10-04,844.95,847.5,830.15,831.95,833.5,82996.0,694.85
2016-10-03,847.5,852.05,840.1,842.0,846.65,66731.0,565.14
2016-09-30,844.95,854.95,837.5,846.45,847.15,95427.0,808.22
2016-09-29,863.75,867.5,833.55,849.0,845.9,367348.0,3123.02
2016-09-28,863.0,868.7,859.0,861.85,863.5,190573.0,1644.44
2016-09-27,872.3,874.85,860.0,862.3,861.65,166160.0,1439.79
2016-09-26,860.0,877.75,855.15,875.1,870.65,881599.0,7633.28
2016-09-23,920.0,931.45,860.1,860.55,869.0,8014800.0,72334.36
