Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,1085.0,1094.0,1041.6,1077.45,1077.45,169700.0,1807.32
2017-09-22,1116.0,1116.0,1078.75,1083.45,1083.2,146017.0,1594.03
2017-09-21,1118.8,1127.0,1088.1,1117.0,1116.15,149360.0,1656.28
2017-09-20,1129.95,1134.0,1117.0,1118.8,1118.55,138440.0,1553.91
2017-09-19,1127.9,1139.0,1116.15,1123.0,1124.3,240466.0,2703.79
2017-09-18,1121.0,1137.0,1115.55,1118.0,1117.65,159556.0,1794.68
2017-09-15,1138.4,1143.35,1108.5,1109.25,1115.95,360184.0,4035.51
2017-09-14,1142.7,1157.95,1135.0,1135.5,1138.4,151529.0,1731.99
2017-09-13,1170.1,1184.0,1141.8,1150.15,1150.1,155991.0,1816.68
2017-09-12,1158.9,1184.0,1150.1,1177.2,1179.75,319104.0,3742.51
2017-09-11,1130.65,1155.0,1119.0,1147.0,1148.9,221581.0,2518.61
2017-09-08,1137.0,1145.0,1112.35,1124.85,1128.05,364473.0,4123.31
2017-09-07,1121.0,1138.0,1118.5,1129.1,1127.75,194084.0,2190.57
2017-09-06,1084.0,1118.5,1073.0,1118.5,1109.15,537386.0,5924.49
2017-09-05,1063.0,1086.0,1059.85,1080.0,1077.5,214901.0,2313.61
2017-09-04,1053.9,1065.0,1041.8,1051.3,1056.95,184252.0,1945.09
2017-09-01,1042.1,1060.0,1037.05,1054.0,1051.4,145792.0,1523.71
2017-08-31,1044.0,1052.55,1039.35,1041.0,1043.85,127842.0,1336.74
2017-08-30,1015.0,1043.7,1015.0,1038.0,1038.85,102588.0,1060.71
2017-08-29,1035.0,1035.0,1010.0,1013.0,1012.2,87791.0,895.39
2017-08-28,1024.0,1035.0,1018.5,1029.5,1026.95,124323.0,1273.38
2017-08-24,1025.0,1035.95,1016.0,1035.0,1022.5,132472.0,1360.49
2017-08-23,1015.0,1029.35,1011.5,1026.0,1023.3,125080.0,1274.62
2017-08-22,1032.05,1037.7,1008.0,1013.0,1012.05,108774.0,1108.43
2017-08-21,1041.0,1046.2,1026.5,1027.95,1030.75,104416.0,1079.24
2017-08-18,1030.0,1048.9,1025.05,1037.0,1040.5,136885.0,1419.57
2017-08-17,1035.0,1052.7,1030.0,1033.0,1035.45,191077.0,1993.11
2017-08-16,1040.0,1047.0,1023.05,1036.6,1037.7,228913.0,2374.11
2017-08-14,1016.75,1036.0,1000.3,1034.25,1033.1,525527.0,5381.95
2017-08-11,950.0,993.8,922.9,993.8,985.75,312460.0,3024.69
2017-08-10,1015.5,1020.0,951.25,968.75,965.8,527667.0,5176.25
2017-08-09,1059.0,1089.25,1014.0,1025.9,1035.5,983534.0,10448.64
2017-08-08,1046.0,1066.95,1013.45,1065.0,1062.15,498531.0,5237.67
2017-08-07,1032.0,1045.0,1026.7,1041.55,1039.2,265607.0,2756.11
2017-08-04,1015.0,1029.5,1011.0,1029.05,1026.15,273004.0,2789.51
2017-08-03,1001.0,1021.8,996.0,1010.0,1009.95,341540.0,3460.3
2017-08-02,999.7,1003.0,990.85,997.0,997.25,70190.0,699.86
2017-08-01,1004.0,1015.25,993.2,995.5,996.0,279789.0,2803.03
2017-07-31,993.75,1004.0,985.75,999.0,999.3,210483.0,2100.61
2017-07-28,980.0,1004.0,975.55,985.0,986.25,472847.0,4673.55
2017-07-27,976.25,988.45,974.0,977.25,978.05,249935.0,2457.5
2017-07-26,992.0,994.0,977.0,977.5,978.5,101614.0,1000.25
2017-07-25,984.5,990.0,980.3,985.5,984.5,89265.0,879.84
2017-07-24,989.0,994.0,982.4,984.2,984.5,83110.0,820.95
2017-07-21,987.0,989.0,974.15,984.0,984.0,113973.0,1119.49
2017-07-20,977.6,988.0,976.0,984.5,985.2,68037.0,667.97
2017-07-19,976.55,985.4,974.15,977.7,976.35,119489.0,1169.2
2017-07-18,983.9,986.9,968.2,976.0,976.2,140245.0,1372.3
2017-07-17,990.0,999.0,983.0,984.7,985.25,196860.0,1945.96
2017-07-14,993.4,1001.3,983.95,988.7,987.4,161069.0,1594.05
2017-07-13,1010.0,1011.45,992.1,992.15,994.35,252064.0,2526.03
2017-07-12,992.0,1017.0,988.55,1005.5,1002.25,826211.0,8309.41
2017-07-11,980.0,996.0,973.0,985.1,983.2,207741.0,2050.99
2017-07-10,929.0,992.95,929.0,979.0,978.3,14788.0,144.82
2017-07-07,977.5,983.0,971.4,974.05,975.45,67036.0,654.22
2017-07-06,987.7,987.7,977.0,979.95,977.85,110288.0,1080.15
2017-07-05,997.8,997.8,978.8,984.0,981.7,197065.0,1946.71
2017-07-04,990.0,994.85,982.1,986.0,985.25,130806.0,1290.44
2017-07-03,994.0,999.0,982.7,990.1,992.4,80241.0,794.46
2017-06-30,979.1,993.0,966.6,990.0,988.6,111092.0,1092.84
2017-06-29,966.6,985.0,966.6,985.0,981.45,84427.0,823.94
2017-06-28,960.0,969.5,952.5,967.0,964.9,93971.0,903.92
2017-06-27,983.2,984.55,950.05,960.75,964.0,108542.0,1042.56
2017-06-23,989.9,998.0,970.0,978.0,980.45,95839.0,938.85
2017-06-22,997.75,1007.0,985.5,990.0,988.8,221341.0,2210.08
2017-06-21,982.65,998.5,975.6,995.1,994.65,120563.0,1192.13
2017-06-20,983.8,994.2,975.3,978.0,981.2,137457.0,1354.67
2017-06-19,984.0,987.8,975.1,982.0,983.8,79784.0,783.46
2017-06-16,969.95,996.0,967.15,976.55,978.15,231875.0,2287.13
2017-06-15,969.85,974.9,964.0,969.8,969.75,48166.0,466.54
2017-06-14,965.0,973.7,962.4,966.1,968.55,55839.0,540.66
2017-06-13,968.0,975.3,960.55,962.9,963.6,78633.0,761.93
2017-06-12,965.35,975.7,959.25,963.5,961.5,104134.0,1008.22
2017-06-09,985.05,989.45,968.0,970.0,973.6,159051.0,1555.02
2017-06-08,991.0,998.8,984.95,987.0,988.75,72917.0,722.66
2017-06-07,1002.7,1002.7,983.55,987.5,989.75,105877.0,1049.89
2017-06-06,990.0,996.9,976.1,994.55,993.6,203849.0,2018.96
2017-06-05,987.0,1004.9,979.0,983.0,984.1,209295.0,2076.2
2017-06-02,962.5,994.0,962.5,985.55,985.85,201469.0,1984.01
2017-06-01,970.45,970.45,955.0,961.35,961.4,82477.0,793.05
2017-05-31,982.0,988.4,962.15,965.0,966.3,160022.0,1556.54
2017-05-30,966.1,983.8,954.0,979.3,981.0,199914.0,1935.73
2017-05-29,988.8,988.8,965.0,971.6,970.55,319020.0,3110.38
2017-05-26,959.95,984.0,946.5,957.5,956.75,182200.0,1752.08
2017-05-25,948.75,969.0,936.3,959.0,956.15,144262.0,1374.61
2017-05-24,957.0,959.85,928.0,940.1,935.5,99133.0,932.46
2017-05-23,983.0,983.0,933.8,945.1,950.6,108123.0,1030.23
2017-05-22,988.9,991.15,970.6,971.25,975.1,74628.0,729.73
2017-05-19,988.5,994.65,963.0,982.0,981.6,135474.0,1323.89
2017-05-18,1002.0,1008.75,973.0,979.0,978.05,149532.0,1478.17
2017-05-17,987.15,1019.0,987.15,1011.9,1008.25,197629.0,1994.02
2017-05-16,987.25,996.0,982.15,989.05,990.4,68579.0,678.41
2017-05-15,987.0,999.0,979.0,990.4,994.85,81932.0,812.58
2017-05-12,1005.5,1005.5,975.0,981.1,980.9,88987.0,876.95
2017-05-11,1008.05,1014.4,997.15,999.0,1000.5,55711.0,559.71
2017-05-10,993.35,1011.0,993.35,1005.2,1007.95,242033.0,2434.35
2017-05-09,996.0,1005.25,990.05,992.1,991.8,89982.0,896.76
2017-05-08,994.7,1008.95,983.3,993.9,994.15,92898.0,925.45
2017-05-05,1005.0,1010.0,986.0,991.0,993.6,134634.0,1342.74
2017-05-04,1008.5,1011.85,992.9,1004.75,1000.35,89118.0,892.95
2017-05-03,1016.0,1021.8,998.25,1000.0,1002.75,130208.0,1309.6
2017-05-02,1030.0,1042.55,1012.55,1014.7,1016.0,131990.0,1348.63
2017-04-28,1020.6,1054.95,1018.05,1027.0,1031.2,347891.0,3606.84
2017-04-27,1015.0,1022.0,1003.9,1017.0,1016.2,72695.0,735.89
