Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,1560.0,1560.0,1495.0,1515.05,1513.55,158167.0,2395.91
2017-09-22,1611.0,1613.0,1525.0,1576.1,1563.0,141514.0,2228.98
2017-09-21,1641.7,1645.0,1601.0,1615.0,1618.7,86174.0,1397.21
2017-09-20,1631.05,1664.0,1629.0,1634.1,1635.05,150476.0,2482.72
2017-09-19,1639.9,1646.0,1628.0,1636.0,1634.1,41211.0,673.69
2017-09-18,1630.25,1670.0,1620.0,1632.65,1630.7,114374.0,1883.87
2017-09-15,1635.0,1640.0,1610.0,1628.35,1630.75,67221.0,1094.15
2017-09-14,1659.0,1664.0,1630.0,1634.95,1638.8,62736.0,1033.39
2017-09-13,1651.0,1668.0,1636.0,1653.05,1655.7,102426.0,1692.97
2017-09-12,1675.0,1675.0,1635.0,1643.95,1644.9,90814.0,1495.77
2017-09-11,1640.0,1665.0,1632.05,1651.2,1655.35,127685.0,2112.58
2017-09-08,1655.0,1661.0,1625.0,1629.0,1634.35,168863.0,2780.73
2017-09-07,1591.0,1654.0,1591.0,1635.55,1636.45,285084.0,4655.87
2017-09-06,1602.0,1610.5,1581.1,1587.95,1590.55,123432.0,1974.36
2017-09-05,1596.0,1621.0,1593.0,1611.25,1614.35,160361.0,2581.33
2017-09-04,1621.9,1639.0,1570.0,1592.8,1590.15,252493.0,4048.11
2017-09-01,1650.0,1650.5,1615.25,1617.0,1622.6,168282.0,2741.25
2017-08-31,1689.0,1695.0,1628.0,1630.0,1633.95,269190.0,4436.45
2017-08-30,1619.0,1717.65,1617.0,1689.0,1687.6,858792.0,14462.79
2017-08-29,1590.0,1642.0,1565.0,1602.0,1600.6,424421.0,6850.74
2017-08-28,1551.0,1605.0,1545.2,1595.0,1588.8,237659.0,3763.85
2017-08-24,1546.0,1577.8,1535.0,1547.0,1552.65,127178.0,1984.04
2017-08-23,1519.0,1550.0,1515.2,1546.0,1536.35,82408.0,1263.25
2017-08-22,1550.0,1551.6,1503.8,1512.9,1513.2,90269.0,1370.24
2017-08-21,1525.0,1550.0,1520.25,1539.9,1536.4,77585.0,1192.21
2017-08-18,1527.5,1530.0,1512.9,1525.0,1526.75,68302.0,1040.17
