Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,820.05,840.0,791.15,835.0,834.3,39691.0,325.63
2017-09-22,849.45,849.45,805.55,813.0,822.2,47132.0,390.67
2017-09-21,849.0,852.85,833.55,850.0,849.95,217114.0,1844.72
2017-09-20,838.05,850.0,838.05,850.0,849.55,35100.0,297.56
2017-09-19,836.0,845.0,833.15,843.1,844.4,22962.0,193.42
2017-09-18,838.0,848.95,830.0,840.0,839.5,46154.0,388.18
2017-09-15,843.35,845.05,832.05,836.8,836.5,43733.0,366.83
2017-09-14,842.0,849.9,829.0,837.0,840.95,96489.0,807.25
2017-09-13,834.5,847.0,820.1,837.35,842.35,113046.0,947.42
2017-09-12,818.0,834.7,812.25,827.1,833.45,439928.0,3636.41
2017-09-11,835.0,835.0,804.8,810.6,810.0,92739.0,754.91
2017-09-08,826.05,837.85,813.5,825.0,831.1,63720.0,526.09
2017-09-07,829.0,834.0,825.0,830.0,831.15,26900.0,223.43
2017-09-06,829.5,835.6,816.5,825.3,829.55,54418.0,449.53
2017-09-05,844.95,845.0,817.25,827.7,836.3,50437.0,421.17
2017-09-04,843.5,848.0,837.0,846.85,845.5,67038.0,564.89
2017-09-01,847.9,848.35,836.0,845.0,843.5,74596.0,631.29
2017-08-31,848.7,849.0,827.05,847.5,847.45,45693.0,385.15
2017-08-30,839.0,846.0,834.2,842.0,844.95,99917.0,841.88
2017-08-29,815.0,841.0,815.0,832.0,839.75,120905.0,1010.57
2017-08-28,830.1,833.7,808.0,817.9,823.65,51694.0,424.6
2017-08-24,817.8,829.0,798.0,821.15,827.35,288497.0,2348.76
2017-08-23,850.0,868.8,801.15,810.0,810.25,391627.0,3199.67
2017-08-22,871.15,882.7,864.0,869.0,869.7,242841.0,2112.86
2017-08-21,891.1,901.75,870.0,875.35,877.2,64378.0,568.43
2017-08-18,895.0,908.4,887.5,892.0,893.95,24354.0,219.01
2017-08-17,892.15,909.95,888.05,898.0,897.75,22443.0,201.66
2017-08-16,893.0,908.0,882.5,886.05,894.85,31737.0,284.14
2017-08-14,866.6,909.85,866.0,892.0,899.0,48076.0,426.31
2017-08-11,888.95,891.9,860.0,864.9,866.0,42559.0,372.3
2017-08-10,905.5,909.0,886.0,887.05,891.6,35577.0,318.75
2017-08-09,899.9,920.0,891.0,894.2,894.55,82658.0,745.54
2017-08-08,896.0,900.0,890.4,895.15,897.8,18189.0,163.35
2017-08-07,900.0,900.0,890.05,898.0,896.65,30806.0,276.69
2017-08-04,893.0,900.0,883.25,899.85,897.95,22564.0,201.92
2017-08-03,897.95,900.0,887.25,898.9,896.55,19934.0,178.72
2017-08-02,899.85,900.0,880.0,897.95,898.5,30545.0,273.43
2017-08-01,896.6,902.0,885.0,885.15,891.9,27350.0,244.97
2017-07-31,885.15,904.0,883.25,892.35,896.6,47094.0,423.01
2017-07-28,889.9,904.0,870.0,888.2,896.75,33596.0,298.68
2017-07-27,872.0,894.5,861.0,882.0,886.5,35667.0,312.94
2017-07-26,888.0,898.9,863.0,865.9,874.25,43765.0,385.62
2017-07-25,894.9,915.0,890.05,891.1,897.15,59917.0,540.54
2017-07-24,925.9,939.9,888.0,894.9,893.8,53869.0,488.54
2017-07-21,920.7,929.8,910.0,910.1,918.05,50239.0,463.6
2017-07-20,915.0,931.0,907.35,916.7,922.6,38168.0,351.76
2017-07-19,941.8,947.0,916.25,920.0,922.65,35540.0,329.82
2017-07-18,954.9,970.0,930.0,930.0,935.9,65125.0,618.8
2017-07-17,942.0,964.0,929.0,943.9,955.2,43490.0,412.99
2017-07-14,925.0,948.85,897.3,941.0,940.85,53441.0,498.47
2017-07-13,920.0,941.0,915.1,923.9,924.75,36436.0,337.88
2017-07-12,903.45,924.5,896.5,915.0,918.75,51574.0,468.53
2017-07-11,905.0,914.0,877.0,904.0,908.1,35526.0,321.94
2017-07-10,899.9,904.75,868.0,896.0,899.9,7079.0,63.3
2017-07-07,887.65,896.95,862.9,886.0,892.45,41313.0,365.19
2017-07-06,927.0,927.0,878.0,883.0,884.65,40555.0,364.3
2017-07-05,945.0,945.0,915.0,915.25,917.4,30370.0,280.39
2017-07-04,934.65,954.95,926.1,940.0,944.35,53463.0,506.07
2017-07-03,927.6,944.8,910.45,927.0,934.65,48163.0,448.73
2017-06-30,901.25,942.4,896.0,919.05,927.6,97983.0,906.76
2017-06-29,906.0,915.0,900.0,901.2,908.2,41962.0,381.28
2017-06-28,899.9,909.0,888.0,893.0,896.25,33539.0,301.77
2017-06-27,891.0,920.0,878.25,891.0,898.85,48442.0,435.81
2017-06-23,901.0,920.0,885.2,891.0,895.85,67864.0,610.92
2017-06-22,899.95,909.9,882.0,886.1,889.35,35349.0,316.23
2017-06-21,889.0,908.95,883.0,893.0,897.15,31087.0,279.32
2017-06-20,890.65,914.7,845.55,888.0,900.6,52403.0,464.26
2017-06-19,912.8,919.95,882.6,887.0,893.8,35887.0,324.1
2017-06-16,900.0,915.0,890.1,899.0,907.2,47510.0,431.25
2017-06-15,881.0,899.0,881.0,888.0,896.65,28044.0,250.11
2017-06-14,895.0,895.0,881.1,887.0,885.0,27478.0,244.36
2017-06-13,892.0,904.95,882.3,883.0,890.4,28295.0,253.46
2017-06-12,893.95,901.2,876.55,892.0,894.85,41370.0,367.84
2017-06-09,895.25,909.35,887.0,887.0,895.6,53879.0,485.51
2017-06-08,904.7,919.9,890.0,895.1,905.45,36757.0,332.79
2017-06-07,896.8,903.95,892.75,894.0,899.35,24854.0,223.38
2017-06-06,915.1,915.1,894.5,895.5,902.4,27228.0,245.92
2017-06-05,922.1,930.0,906.55,911.9,915.1,41966.0,386.18
2017-06-02,914.9,934.7,905.0,923.0,928.3,51461.0,475.93
2017-06-01,909.45,933.9,891.0,901.3,913.85,78644.0,719.09
2017-05-31,863.0,899.9,853.3,888.1,894.45,49480.0,437.26
2017-05-30,840.9,870.0,830.65,859.0,864.45,51909.0,442.25
2017-05-29,849.7,853.5,830.0,830.0,841.2,27021.0,228.18
2017-05-26,842.0,859.0,838.0,840.0,848.65,55474.0,471.71
2017-05-25,830.0,845.0,807.0,838.0,840.9,33691.0,279.81
2017-05-24,780.0,834.0,771.0,825.0,820.05,100120.0,811.15
2017-05-23,815.0,816.7,774.8,775.0,784.55,58184.0,458.04
2017-05-22,836.2,840.0,812.15,813.0,820.15,47037.0,387.14
2017-05-19,839.9,840.0,815.4,828.1,835.65,42994.0,356.75
2017-05-18,818.0,834.95,810.1,823.0,832.25,46222.0,381.65
2017-05-17,840.0,851.5,810.1,816.0,824.0,95056.0,785.75
2017-05-16,849.0,859.0,821.55,842.0,849.65,54941.0,461.34
2017-05-15,835.0,850.65,821.9,843.3,841.65,38530.0,321.6
2017-05-12,862.85,864.1,828.0,829.0,833.6,46058.0,386.8
2017-05-11,880.35,898.0,851.2,852.0,857.85,83762.0,728.96
2017-05-10,840.05,889.0,840.05,879.0,879.0,100001.0,873.55
2017-05-09,825.0,853.9,817.2,849.0,847.65,48065.0,404.74
2017-05-08,808.1,829.9,803.5,825.0,825.85,38653.0,316.52
2017-05-05,796.65,819.9,795.0,808.85,816.45,47799.0,387.44
2017-05-04,784.95,823.0,782.65,796.1,803.95,48471.0,389.94
2017-05-03,794.4,797.0,778.6,781.45,791.15,23510.0,185.69
2017-05-02,790.5,801.0,769.6,782.55,789.2,60931.0,481.49
2017-04-28,779.0,795.0,779.0,790.1,794.45,50245.0,396.9
2017-04-27,785.2,799.0,770.0,784.35,791.75,39940.0,313.68
2017-04-26,800.0,814.0,776.55,785.1,793.65,88248.0,704.46
2017-04-25,781.15,799.9,781.15,799.0,797.75,134309.0,1065.95
2017-04-24,782.0,785.05,769.55,774.0,779.25,44445.0,346.3
2017-04-21,758.0,785.0,749.35,779.0,782.6,168855.0,1314.24
2017-04-20,748.85,774.0,737.3,763.8,761.1,123238.0,927.18
2017-04-19,750.0,757.7,742.0,742.5,745.75,23054.0,172.51
2017-04-18,755.5,782.0,741.0,745.0,749.15,59223.0,453.39
2017-04-17,750.0,774.0,733.0,752.65,759.05,104273.0,779.78
2017-04-13,765.0,766.9,744.0,744.15,751.15,36446.0,274.55
2017-04-12,760.25,775.0,743.3,760.0,762.75,135521.0,1029.59
2017-04-11,710.1,777.0,710.1,770.0,741.7,182222.0,1338.85
2017-04-10,723.55,733.0,707.1,718.0,722.9,52529.0,379.48
2017-04-07,721.5,731.5,719.95,720.0,723.05,43925.0,318.34
2017-04-06,723.9,734.0,711.05,730.25,729.7,49382.0,357.47
2017-04-05,710.0,724.8,706.75,719.7,719.95,84996.0,610.14
2017-04-03,683.0,714.0,683.0,703.05,706.75,83195.0,586.62
2017-03-31,694.95,698.0,682.7,685.0,690.4,65228.0,449.52
2017-03-30,688.7,696.0,685.0,685.0,689.7,33310.0,230.02
2017-03-29,688.5,693.55,683.35,683.4,688.7,33890.0,233.63
2017-03-28,687.7,721.0,685.05,686.95,688.5,52914.0,368.06
2017-03-27,690.25,694.9,685.0,687.0,690.75,30491.0,210.44
2017-03-24,689.2,700.0,687.9,692.85,691.25,51540.0,357.77
2017-03-23,691.9,700.0,684.9,685.0,689.2,60844.0,420.29
2017-03-22,699.3,700.0,677.8,687.0,688.55,64918.0,446.97
2017-03-21,682.75,695.1,680.0,689.9,692.3,64023.0,441.32
2017-03-20,686.0,691.85,682.0,683.0,685.75,45203.0,310.44
2017-03-17,694.0,694.0,675.15,681.5,684.1,46021.0,315.43
2017-03-16,695.0,695.0,686.0,686.75,689.15,88548.0,611.01
2017-03-15,688.0,690.0,674.1,678.0,680.05,154345.0,1057.49
2017-03-14,690.0,694.0,675.0,676.55,679.4,124933.0,849.29
2017-03-10,639.0,680.0,633.1,675.0,665.5,138841.0,918.52
2017-03-09,633.35,640.9,632.0,635.1,639.0,87905.0,562.07
2017-03-08,641.0,648.75,632.6,634.8,638.55,54648.0,349.6
2017-03-07,639.9,659.0,632.5,640.45,640.7,99955.0,643.66
2017-03-06,638.1,641.0,632.45,639.85,638.95,26463.0,169.01
2017-03-03,640.15,640.15,630.0,636.6,638.5,27865.0,177.61
2017-03-02,650.05,652.15,634.0,637.0,636.95,31229.0,201.31
2017-03-01,646.0,657.8,646.0,650.0,651.05,25527.0,166.67
2017-02-28,651.0,656.0,647.1,650.2,652.9,43921.0,286.48
2017-02-27,649.0,657.55,642.1,647.85,649.55,39106.0,254.42
2017-02-23,658.95,659.0,644.0,644.6,645.2,42726.0,278.43
2017-02-22,657.8,659.0,646.0,654.0,654.4,26327.0,172.17
2017-02-21,651.65,660.0,648.35,655.45,655.3,98326.0,645.28
2017-02-20,649.3,656.85,646.15,647.15,648.8,21678.0,141.39
2017-02-17,654.05,656.9,640.85,654.0,654.95,66665.0,436.11
2017-02-16,652.9,659.9,646.0,646.5,648.05,28362.0,185.71
2017-02-15,657.95,660.35,640.1,646.0,652.35,27237.0,177.24
2017-02-14,649.5,664.05,649.5,658.3,659.7,20967.0,138.25
2017-02-13,662.0,662.0,641.25,650.0,649.5,32057.0,208.48
2017-02-10,676.2,678.4,654.05,654.15,657.55,38653.0,255.89
2017-02-09,683.7,683.7,672.4,677.55,675.65,21381.0,144.53
2017-02-08,687.95,687.95,675.05,678.25,679.65,160246.0,1091.78
2017-02-07,678.3,686.0,674.05,679.0,683.0,62684.0,426.62
2017-02-06,676.15,682.75,671.0,676.0,677.55,92661.0,627.13
2017-02-03,688.0,688.0,667.0,668.1,673.1,46066.0,311.07
2017-02-02,674.1,688.0,666.7,676.0,676.45,41680.0,281.87
2017-02-01,678.7,697.85,675.0,676.0,677.5,54880.0,373.88
2017-01-31,690.0,690.0,673.05,678.0,677.7,33945.0,230.71
2017-01-30,705.0,715.85,665.8,690.0,684.6,65077.0,450.19
2017-01-27,731.0,732.8,705.0,706.0,711.3,91039.0,653.91
2017-01-25,700.0,744.0,690.15,734.1,730.95,308026.0,2216.87
2017-01-24,690.1,710.0,661.0,704.0,684.4,182161.0,1240.68
2017-01-23,666.35,680.0,656.15,680.0,670.6,50415.0,336.12
2017-01-20,664.0,677.7,662.35,662.6,669.25,37290.0,250.53
2017-01-19,680.0,680.0,663.55,666.0,667.7,40691.0,272.97
2017-01-18,676.95,684.25,669.75,673.0,675.1,1634744.0,11036.19
2017-01-17,664.95,678.9,664.85,668.0,667.6,18966.0,127.16
