Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,491.05,495.0,470.1,487.05,483.65,99301.0,482.55
2017-09-22,480.25,495.0,479.25,487.0,490.35,232089.0,1136.75
2017-09-21,475.0,489.8,474.85,486.0,484.4,67908.0,329.36
2017-09-20,482.0,485.5,472.15,474.85,474.45,41074.0,196.55
2017-09-19,494.05,494.6,478.2,481.0,480.65,77479.0,375.13
2017-09-18,489.7,497.0,482.3,492.0,494.55,124268.0,608.39
2017-09-15,476.05,489.0,468.6,483.0,483.0,88355.0,422.83
2017-09-14,470.0,483.1,462.15,474.55,476.15,115916.0,551.17
2017-09-13,466.75,480.0,465.0,465.05,466.65,73951.0,350.63
2017-09-12,477.55,479.5,466.15,470.85,470.8,91806.0,432.28
2017-09-11,483.45,488.65,475.0,476.0,476.2,69935.0,336.74
2017-09-08,473.0,488.4,471.7,480.1,481.7,286785.0,1381.98
2017-09-07,467.9,479.0,452.0,471.9,473.2,427460.0,1997.64
2017-09-06,465.05,469.0,460.05,462.0,463.4,48812.0,226.93
2017-09-05,447.95,469.15,447.95,467.15,466.85,166777.0,766.96
2017-09-04,447.2,453.0,443.0,446.85,446.75,31870.0,142.52
2017-09-01,447.8,454.0,442.1,449.0,446.95,40873.0,183.14
2017-08-31,443.75,447.35,441.25,446.75,445.7,29154.0,129.64
2017-08-30,449.2,452.5,441.0,441.15,442.3,47638.0,212.12
2017-08-29,445.0,455.0,445.0,449.3,448.4,35216.0,158.68
2017-08-28,446.9,453.5,441.2,449.5,448.85,36428.0,163.46
2017-08-24,441.5,452.4,439.7,445.5,445.0,53780.0,240.22
2017-08-23,442.5,447.15,436.0,437.0,437.8,44875.0,197.52
2017-08-22,445.05,451.5,440.1,441.0,441.8,33701.0,149.83
2017-08-21,453.1,456.0,442.1,442.2,443.35,27742.0,124.19
2017-08-18,444.1,454.85,440.55,451.0,452.85,47190.0,211.82
2017-08-17,455.1,457.95,448.05,449.5,449.5,29149.0,132.01
2017-08-16,457.4,459.5,452.0,455.95,453.95,41390.0,188.44
