Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-25,516.85,519.0,480.05,499.0,498.5,726302.0,3630.84
2017-09-22,508.0,516.95,501.0,516.0,513.25,610398.0,3111.98
2017-09-21,508.0,514.65,504.5,511.05,509.75,860595.0,4396.37
2017-09-20,514.0,515.7,506.0,508.0,509.8,688792.0,3523.03
2017-09-19,508.2,517.4,508.2,513.75,514.55,856207.0,4410.91
2017-09-18,504.0,512.0,499.0,510.0,508.9,1170543.0,5962.78
2017-09-15,486.5,504.0,486.05,500.7,500.75,4863916.0,24219.61
2017-09-14,481.65,490.0,480.5,486.6,486.55,4504596.0,21861.49
2017-09-13,460.5,484.4,460.5,479.3,478.8,1822249.0,8707.78
2017-09-12,461.75,469.7,459.15,459.55,460.45,1602372.0,7422.84
2017-09-11,474.0,475.9,457.0,458.05,459.35,2345383.0,10898.72
2017-09-08,489.9,501.25,473.0,473.3,475.0,1754101.0,8432.86
2017-09-07,490.0,493.85,481.0,488.35,486.35,747885.0,3657.73
2017-09-06,490.5,494.0,488.1,489.05,489.9,451204.0,2215.3
2017-09-05,496.4,499.1,487.55,491.1,491.9,359318.0,1768.42
2017-09-04,508.5,510.8,494.0,495.8,496.65,1459544.0,7306.5
2017-09-01,515.2,520.6,504.1,507.0,506.4,1177929.0,6040.95
2017-08-31,510.0,515.0,505.0,511.0,512.0,737228.0,3768.07
2017-08-30,481.2,506.45,481.2,502.0,502.2,1319316.0,6594.75
2017-08-29,472.4,480.25,471.0,478.0,478.45,606072.0,2883.37
2017-08-28,474.9,481.3,472.1,475.45,475.8,604780.0,2881.17
2017-08-24,461.9,476.9,461.9,470.45,472.1,1148621.0,5421.93
2017-08-23,448.85,464.95,447.05,460.25,459.6,1047727.0,4810.1
2017-08-22,451.1,455.95,441.55,446.05,446.45,491642.0,2196.29
2017-08-21,453.9,454.85,447.05,448.95,450.1,708479.0,3193.81
2017-08-18,446.8,452.45,444.6,450.05,449.6,3811702.0,17033.17
2017-08-17,455.0,458.9,448.65,449.0,449.95,1473827.0,6652.04
2017-08-16,453.7,458.7,448.0,454.5,456.15,570991.0,2595.67
2017-08-14,444.05,452.0,441.0,448.0,448.65,641960.0,2881.05
2017-08-11,444.65,449.0,440.0,443.85,442.95,1589824.0,7048.3
2017-08-10,449.9,455.7,445.2,455.0,449.35,683030.0,3073.3
2017-08-09,447.6,453.4,444.95,451.0,450.25,986719.0,4436.07
2017-08-08,469.7,469.7,450.7,452.6,453.2,602048.0,2771.52
2017-08-07,453.0,465.0,450.25,464.55,462.55,976920.0,4492.24
2017-08-04,451.0,453.2,445.15,447.8,448.7,689944.0,3100.76
2017-08-03,457.45,457.45,449.6,450.0,451.0,1038792.0,4705.7
2017-08-02,449.95,455.0,447.9,454.0,451.8,3210123.0,14507.55
2017-08-01,440.5,450.8,439.5,449.0,446.55,701196.0,3112.19
2017-07-31,456.5,456.5,438.25,440.7,441.25,1033126.0,4597.28
2017-07-28,450.0,457.95,447.35,453.0,452.75,519780.0,2360.3
